"term","hazard.ratio","confint.low","confint.high","p.value","padj.FDR","samples.with.microbe","samples.without.microbe","pass.prevalence.split"
"Rhodanobacter.denitrificans",2.02725477848234,1.23838410977228,3.31864879761352,0.00495124152442295,0.366422287371492,29,469,"Yes"
"Aeromicrobium.erythreum",1.77900063758926,1.19030575653017,2.65884899840254,0.00495928742544935,0.366422287371492,48,450,"Yes"
"Armatimonadetes.bacterium.Uphvl.Ar2",2.30885821944784,1.28115687458264,4.16094733070724,0.00536203370661322,0.383863174574683,21,477,"Yes"
"Acidipropionibacterium.acidipropionici",1.84923030534283,1.19322778477906,2.86588425598179,0.00595410644463214,0.418724329124311,42,456,"Yes"
"Candidatus.Liberibacter.asiaticus",2.36678490134071,1.26834533740579,4.41651859632469,0.00679290907268608,0.455749543186996,15,483,"Yes"
"Solibacillus.sp..R5.41",1.72860260494541,1.16226928053635,2.57089042605097,0.00688270325015027,0.45652657808099,51,447,"Yes"
"Methylobacterium.nodulans",0.660966087418628,0.488289402995868,0.894707454302846,0.00735932272083548,0.473044901411069,180,318,"Yes"
"X.Clostridium..bolteae",1.91861854933645,1.19042759313697,3.09224782681456,0.00745590730337817,0.473044901411069,434,64,"Yes"
"Leptotrichia.hofstadii",0.553105799828764,0.35726191140212,0.856307420523982,0.00791715647371942,0.49467711637486,76,422,"Yes"
"Enterococcus.casseliflavus",1.94663537259426,1.18504446205581,3.19767687641135,0.00852788823211593,0.511323167277399,30,468,"Yes"
"Ruminococcus.sp..JE7A12",2.09141365780514,1.205467563186,3.62847680156032,0.00867243336653462,0.511323167277399,23,475,"Yes"
"Burkholderia.lata",0.587706913861701,0.394876161574118,0.874703135342381,0.00879852866933738,0.5120802186459,92,406,"Yes"
"Brevibacterium.aurantiacum",1.50794230422249,1.10778942805839,2.05263738330601,0.00903904845429242,0.5120802186459,116,382,"Yes"
"Crocosphaera.subtropica",2.26184432183071,1.22549299969297,4.17459727430475,0.00904649326609883,0.5120802186459,19,479,"Yes"
"Novosphingobium.tardaugens",2.08334383964562,1.19853135974555,3.62136669925001,0.00926934100188754,0.5120802186459,21,477,"Yes"
"Dermatophilus.congolensis",0.548801501554934,0.348978334088459,0.863042368792462,0.0093871138247578,0.5120802186459,79,419,"Yes"
"Mesoplasma.lactucae",1.46683380654184,1.09697264159809,1.96139934071603,0.00975759773323846,0.514639228716529,129,369,"Yes"
"Lactobacillus.amylolyticus",2.4523555287848,1.24165685631881,4.84356656910144,0.00978669768503251,0.514639228716529,13,485,"Yes"
"Alphapapillomavirus.9",0.59948239127282,0.405498981533083,0.886263970596086,0.0103092819192786,0.534492327828529,100,398,"Yes"
"Human.gammaherpesvirus.4",0.487585561781743,0.281573431238704,0.844325684465853,0.0103473758856645,0.534492327828529,55,443,"Yes"
"Alicycliphilus.denitrificans",0.694853970663304,0.525697518425457,0.91844078319541,0.0105371639337035,0.539521279658133,226,272,"Yes"
"Rhizobacter.gummiphilus",0.621087255445947,0.430577632433027,0.895888104306901,0.0108296249535628,0.541540119901339,111,387,"Yes"
"Rhodanobacter.glycinis",0.397514383660081,0.195422344148278,0.808595792386759,0.0108841759036434,0.541540119901339,36,462,"Yes"
"Microbulbifer.agarilyticus",1.78206661480404,1.14127781876042,2.782636591543,0.0110477704623968,0.541540119901339,36,462,"Yes"
"Methanosarcina.horonobensis",2.22954964605273,1.2010911774773,4.13864635543692,0.0110682105764879,0.541540119901339,16,482,"Yes"
"Paenibacillus.riograndensis",2.53157509961572,1.23508454455161,5.1890152081217,0.011194692971021,0.541540119901339,12,486,"Yes"
"Sphingobacterium.sp..CZ.2",1.4905413282558,1.0946321145301,2.02964395229012,0.011276904373995,0.541540119901339,124,374,"Yes"
"Dickeya.sp..DW.0440",2.39105033517594,1.21610597818345,4.70117062814284,0.0114986460576811,0.545363288284239,12,486,"Yes"
"Streptomyces.sp..SYP.A7193",0.700729942367648,0.531668329399116,0.923550313191523,0.0115855829616662,0.545363288284239,234,264,"Yes"
"Pandoraea.vervacti",0.166298989082903,0.0409173638401184,0.675883076877988,0.0121585173271653,0.563248139989396,15,483,"Yes"
"Mycolicibacterium.rhodesiae",1.4773413074057,1.08598530670622,2.00973008114337,0.0129445369565409,0.590291111057258,339,159,"Yes"
"Rubrobacter.radiotolerans",2.10961987405131,1.16666102652844,3.81472931022246,0.013511663164244,0.611376572788313,22,476,"Yes"
"Acinetobacter.bereziniae",2.06203398720457,1.15984432160348,3.66599558681154,0.0136990983118977,0.612186058268881,25,473,"Yes"
"Thermococcus.sp..2319x1",2.59360709705963,1.21151085403017,5.55240405114074,0.0141275029533431,0.612186058268881,11,487,"Yes"
"Bifidobacterium.thermophilum",0.286078857964705,0.10522591821032,0.777765728884495,0.0141873756982298,0.612186058268881,23,475,"Yes"
"Owenweeksia.hongkongensis",0.412068932200949,0.202644755597225,0.83792350996107,0.0143539008218191,0.612186058268881,37,461,"Yes"
"Pseudomonas.sp..PE08",0.55319571910332,0.343761149123457,0.890227137111223,0.0147285268203986,0.615569778182375,62,436,"Yes"
"Lactobacillus.paralimentarius",1.42054708567785,1.07126878646295,1.88370467629378,0.0147643942000227,0.615569778182375,147,351,"Yes"
"Corynebacterium.efficiens",1.62203417692708,1.09881226493046,2.39439889332325,0.0149252428642026,0.61786271346348,49,449,"Yes"
"Achromobacter.xylosoxidans",1.49061385667442,1.07965104833289,2.05800723589413,0.0152809460630969,0.623740434757317,341,157,"Yes"
"Mycobacterium.lepraemurium",2.06983066864552,1.14843730592815,3.73045962086987,0.0155007894694946,0.624060243644726,20,478,"Yes"
"Acinetobacter.defluvii",1.79524704581538,1.1172009632984,2.88480950284324,0.0156095246825647,0.624060243644726,35,463,"Yes"
"Chromobacterium.rhizoryzae",1.97733591209527,1.13621037246074,3.44113854619536,0.0158784017529995,0.628019788224026,23,475,"Yes"
"Paenibacillus.stellifer",0.706837739849001,0.532821644287465,0.937686364342383,0.0161208617717234,0.628019788224026,226,272,"Yes"
"Pseudoalteromonas.issachenkonii",1.61070218421153,1.0923468429698,2.37503458074764,0.0161389357946897,0.628019788224026,52,446,"Yes"
"Candidatus.Xiphinematobacter.sp..Idaho.Grape",2.20460443156194,1.15676898117316,4.20160012825843,0.0162812331609739,0.629361310997382,17,481,"Yes"
"Brevirhabdus.pacifica",0.513262828284539,0.297579114308449,0.885272918130882,0.0164796702072333,0.631468513593165,48,450,"Yes"
"Carnobacterium.sp..17.4",2.73528977658966,1.20116836242844,6.22877724384089,0.0165521128284657,0.631468513593165,11,487,"Yes"
"Mucilaginibacter.xinganensis",2.29217818116296,1.16218820212763,4.52085196234211,0.0166794507693404,0.631690567525328,14,484,"Yes"
"Terribacillus.goriensis",2.27786805839299,1.16018898279054,4.47227388676542,0.0167743769001929,0.631690567525328,13,485,"Yes"
"Sphingobium.baderi",0.605476077968388,0.401147174106763,0.913882247352967,0.0169084597214839,0.632658201245524,73,425,"Yes"
"Bacillus.aryabhattai",1.54384392694536,1.07970795817291,2.20749884515009,0.0172978856367701,0.639036445960931,74,424,"Yes"
"Ignavibacterium.album",5.38516049900152,1.33507620225373,21.7215718106964,0.0179770876137399,0.647609498856103,480,18,"Yes"
"Streptomyces.sp..SCSIO.03032",1.84218643497209,1.10960060846534,3.05844358348798,0.0181744025371113,0.647609498856103,31,467,"Yes"
"Geodermatophilus.obscurus",0.720387755364569,0.548727716245596,0.945748688675552,0.0181956412219292,0.647609498856103,273,225,"Yes"
"Pelobacter.acetylenicus",1.56136654520958,1.07778835985218,2.26191484275638,0.0184685923752488,0.65184497677486,66,432,"Yes"
"Corynebacterium.sp..2183",2.03351507828665,1.12516239320817,3.67518822045636,0.0187482789067349,0.655291640590487,21,477,"Yes"
"Streptococcus.parauberis",1.87801452338285,1.10770710418323,3.18399921488046,0.0192975029588177,0.670473361729874,21,477,"Yes"
"Thauera.humireducens",0.604855990775962,0.396736592414613,0.922150304691924,0.0194581201477885,0.671620083914103,73,425,"Yes"
"Gramella.salexigens",2.24374839675542,1.13849244405244,4.42199409775847,0.0195606329048137,0.671620083914103,18,480,"Yes"
"Lysobacter.gummosus",0.256352040267137,0.0816381159752807,0.804971645463037,0.0197233917194829,0.672462549100386,24,474,"Yes"
"Borrelia.turcica",1.54336934996441,1.07132062068025,2.223413704944,0.0198155830812517,0.672462549100386,68,430,"Yes"
"Pseudobacter.ginsenosidimutans",1.87308436601884,1.10277485460088,3.18146993249496,0.0202378734973141,0.67327669302416,31,467,"Yes"
"X.Clostridium..scindens",1.43657955653838,1.0580267943592,1.95057519645704,0.0202644748997006,0.67327669302416,115,383,"Yes"
"X.Eubacterium..eligens",1.73485859878865,1.08925152359582,2.76312154960795,0.020342568396442,0.67327669302416,43,455,"Yes"
"Flavobacterium.columnare",1.55468009400812,1.07063928024882,2.25755792758077,0.0204163054077911,0.67327669302416,408,90,"Yes"
"Sphingomonas.taxi",0.625565492638689,0.42036263690786,0.930939506086652,0.0207348655547908,0.679940506984911,84,414,"Yes"
"Streptococcus.halotolerans",0.58153498710365,0.365716305936482,0.924713871752763,0.0219797173774866,0.704945616168854,69,429,"Yes"
"Paucibacter.sp..KCTC.42545",0.695771542929609,0.509831994279524,0.949524638277672,0.022228625683573,0.704945616168854,149,349,"Yes"
"Spiroplasma.turonicum",1.93311132244233,1.09660217082737,3.40772568609387,0.0226801903257596,0.704945616168854,24,474,"Yes"
"Herbaspirillum.robiniae",0.589744665842094,0.374433900245405,0.928865603945732,0.0227065823921406,0.704945616168854,75,423,"Yes"
"Deinococcus.irradiatisoli",1.93450161249003,1.09549319259541,3.41608374567842,0.0229466621675659,0.704945616168854,25,473,"Yes"
"Sphingomonas.sp..XS.10",0.541232066548378,0.318697974751331,0.919152843970197,0.0230893672590406,0.705615898905864,52,446,"Yes"
"Roseivivax.sp..THAF30",1.986561743261,1.09779478166835,3.59486820823715,0.0233112712493559,0.708686928554638,25,473,"Yes"
"Methylocella.tundrae",0.413250371255007,0.19232382718587,0.887960019521427,0.0235459263058715,0.712111771229908,26,472,"Yes"
"Mycobacteroides.abscessus",1.36786348881317,1.04232148502349,1.79508006974063,0.0238917474985055,0.716227208562004,194,304,"Yes"
"Sphingobacterium.sp..B29",1.84876741269515,1.0840040025902,3.1530704112498,0.0240644428096081,0.716473828757354,24,474,"Yes"
"Cyanobium.sp..NIES.981",0.724779562496516,0.547849158849123,0.95885045313597,0.0241811451542228,0.716473828757354,210,288,"Yes"
"Acidaminococcus.fermentans",1.87196071772912,1.08194944437662,3.23881762399715,0.0249900145931465,0.729089769131042,26,472,"Yes"
"Pseudarthrobacter.sp..NIBRBAC000502771",0.394442811050479,0.174824812041698,0.889948797155262,0.0250389171814344,0.729089769131042,26,472,"Yes"
"Lactobacillus.crustorum",1.91593364496762,1.08461478175681,3.38442900987678,0.0251065690586499,0.729089769131042,26,472,"Yes"
"Pseudomonas.sp..HLS.6",0.695239700473847,0.505468446884171,0.956257990176244,0.0254192350736919,0.732528172297832,146,352,"Yes"
"Borrelia.crocidurae",0.462237409639538,0.234855725263396,0.909764591136287,0.0255024312801762,0.732528172297832,29,469,"Yes"
"Leucania.separata.nucleopolyhedrovirus",2.29216700226549,1.10591661930924,4.75083697499405,0.0257010312699109,0.732528172297832,16,482,"Yes"
"Pseudomonas.psychrotolerans",0.729644693586859,0.5530797224727,0.962576202395018,0.025761329714308,0.732528172297832,228,270,"Yes"
"Echinicola.rosea",0.736013023184099,0.561734847007897,0.964360984870467,0.0262035116730286,0.733974342473736,260,238,"Yes"
"Pelosinus.fermentans",1.79944773932305,1.0718747992708,3.0208865520093,0.0262459532914306,0.733974342473736,29,469,"Yes"
"Campylobacter.curvus",2.37538384450718,1.10728551608496,5.09574841066808,0.0263059269938894,0.733974342473736,13,485,"Yes"
"Syntrophus.aciditrophicus",1.71443986866378,1.0652226216297,2.75933312303018,0.0264064779714724,0.733974342473736,36,462,"Yes"
"Enterobacter.bugandensis",2.23744000733988,1.09814315575865,4.55872967034667,0.0265695905251479,0.733983345249736,14,484,"Yes"
"Streptomyces.sp..M56",3.63740929083493,1.15969156488208,11.4088493438319,0.026829765198224,0.733983345249736,476,22,"Yes"
"Streptomyces.sp..WAC00288",2.15894700001565,1.09227421999272,4.26729118344261,0.0268388125509441,0.733983345249736,15,483,"Yes"
"Neisseria.chenwenguii",0.27473906974929,0.0872086784913471,0.865528038636598,0.0273401926581118,0.733983345249736,16,482,"Yes"
"Muriicola.sp..MMS17.SY002",1.71408214593949,1.06184562792145,2.76695361903009,0.0274139097351183,0.733983345249736,33,465,"Yes"
"Proteus.cibarius",2.23759932925937,1.093188484411,4.58004345060368,0.0275414390238989,0.733983345249736,16,482,"Yes"
"Pandoraea.oxalativorans",2.00892213025685,1.07979254899242,3.73754026104513,0.0276424147385001,0.733983345249736,18,480,"Yes"
"Deinococcus.soli.Cha.et.al..2016",2.01012035295646,1.0797691019353,3.74208136362464,0.0276642686234268,0.733983345249736,15,483,"Yes"
"Halanaerobium.hydrogeniformans",0.696574947908487,0.50432754697518,0.962106196585749,0.0282059327510733,0.744968459131289,126,372,"Yes"
"Salegentibacter.salegens",1.62460438279765,1.05279021720447,2.50699461058228,0.0283518181820486,0.745448480759539,44,454,"Yes"
"Mesorhizobium.huakuii",1.98108970233369,1.07307103043083,3.65746189897315,0.0288588230418152,0.755208331349954,20,478,"Yes"
"Chondrocystis.sp..NIES.4102",0.715548542932069,0.529747014244764,0.966517419682216,0.029111165762162,0.755208331349954,167,331,"Yes"
"Thioalkalivibrio.sp..K90mix",0.282747405908453,0.0900963365190809,0.887340136532944,0.0304028234241374,0.776008873584955,19,479,"Yes"
"Gordonia.sp..YC.JH1",1.76512749267079,1.05423358830511,2.95539347251431,0.0307106475583561,0.776008873584955,27,471,"Yes"
"Acetohalobium.arabaticum",2.09355096223848,1.06824607615618,4.1029456876272,0.0313759449263251,0.781787258303914,15,483,"Yes"
"Roseomonas.mucosa",2.10278927129944,1.06841838618284,4.13856853895,0.0314340722047965,0.781787258303914,16,482,"Yes"
"Simkania.negevensis",1.50275658493718,1.03651197600266,2.17872770007075,0.0316192190126551,0.781787258303914,75,423,"Yes"
"Leptotrichia.trevisanii",0.713666974916358,0.524564698660108,0.970939432995052,0.0317356395233869,0.781787258303914,166,332,"Yes"
"Methanosarcina.sp..MTP4",1.5999677541194,1.04192402559876,2.45689393019876,0.0317429467565577,0.781787258303914,42,456,"Yes"
"Spiroplasma.corruscae",0.461219982472371,0.227220509656956,0.936200136831715,0.0321549194248911,0.788606154130628,34,464,"Yes"
"Roseburia.intestinalis",1.75178460528379,1.04769185370735,2.92905713874766,0.0325491014430561,0.794933494238989,32,466,"Yes"
"Deinococcus.gobiensis",1.58441476215628,1.03823918196365,2.41791119247764,0.0328453229471261,0.798707915207793,48,450,"Yes"
"Paenibacillus.physcomitrellae",2.16670319515352,1.06289025056085,4.41682735673913,0.0333529104262765,0.800422083664557,12,486,"Yes"
"Campylobacter.hyointestinalis",1.84655653631379,1.04763782445456,3.25472311347525,0.0339307201324696,0.801836491551518,27,471,"Yes"
"Staphylococcus.lugdunensis",1.50628210339212,1.02975711873248,2.20332128200497,0.0347655953225762,0.813724765268117,60,438,"Yes"
"Kazachstania.africana",1.39253423805516,1.02361304737871,1.89441860781441,0.0349806469488014,0.813724765268117,120,378,"Yes"
"Streptomyces.platensis",1.3995310981812,1.02353537816147,1.9136488455285,0.0352312683609578,0.813724765268117,102,396,"Yes"
"Desulfovibrio.fairfieldensis",0.512447971689901,0.274830751566125,0.955507788675934,0.0354538592894722,0.813724765268117,40,458,"Yes"
"Gemmobacter.sp..HYN0069",0.591988138173049,0.362966757625812,0.965515294099954,0.0356786077167216,0.813724765268117,52,446,"Yes"
"Planctomycetes.bacterium.Pan189",1.33705102583816,1.01941015652325,1.75366650435574,0.0358278678557317,0.813724765268117,215,283,"Yes"
"Elusimicrobium.minutum",0.536040458838832,0.298969631415341,0.961098865299003,0.0363350875722084,0.82107483085394,45,453,"Yes"
"Planctopirus.ephydatiae",0.346815191497705,0.128596157311795,0.935337257099804,0.0364362647948514,0.82107483085394,22,476,"Yes"
"Petrotoga.mobilis",0.574330021320799,0.341472265799585,0.965978811245379,0.0365780209239883,0.82107483085394,45,453,"Yes"
"Peptoniphilus.sp..ING2.D1G",0.444085655177438,0.207254802474156,0.951544025904857,0.0368241359457658,0.82107483085394,26,472,"Yes"
"Bosea.sp..PAMC.26642",1.64042217083908,1.03067094928927,2.6109059350475,0.0368548236566271,0.82107483085394,37,461,"Yes"
"Phreatobacter.sp..NMCR1094",0.535002764806973,0.29639357633523,0.965702299928973,0.0379138255796966,0.837048526482026,44,454,"Yes"
"Lutibacter.profundi",1.48558152534342,1.02216943648714,2.15908673226062,0.0379946909401846,0.837048526482026,72,426,"Yes"
"Sphingobium.sp..MI1205",0.467182218867427,0.227459205944869,0.959553273384739,0.038228638609326,0.837048526482026,26,472,"Yes"
"Pseudomonas.migulae",0.41594039526885,0.180867382630055,0.956537380597105,0.0389661804361398,0.837048526482026,22,476,"Yes"
"Pandoraea.thiooxydans",1.77882502979048,1.02795974021255,3.0781540977031,0.0395398733970486,0.837048526482026,31,467,"Yes"
"Amycolatopsis.sp..YIM.10",0.614046348399746,0.385934311220674,0.976987292968275,0.0395688643792331,0.837048526482026,57,441,"Yes"
"Phyllobacterium.zundukense",1.81950526183484,1.02709597355042,3.22326197658116,0.040208514488594,0.837048526482026,24,474,"Yes"
"Planctomycetes.bacterium.Pan44",0.452904250456406,0.212482566882852,0.965360420342477,0.040241457776189,0.837048526482026,29,469,"Yes"
"Weissella.soli",1.89278991738707,1.02533789823962,3.49412001401016,0.0413538696928512,0.837048526482026,19,479,"Yes"
"Borreliella.spielmanii",2.10725053247088,1.02946773693757,4.3133987081599,0.0414076542179821,0.837048526482026,12,486,"Yes"
"Pontibacter.korlensis",0.691421077160837,0.48494621461308,0.985806449326922,0.0414547506639428,0.837048526482026,111,387,"Yes"
"Synechococcus.sp..JA.2.3B.a.2.13.",0.395616121939259,0.162224300022517,0.964788357333235,0.0414724129944323,0.837048526482026,29,469,"Yes"
"Fusobacterium.sp..oral.taxon.203",1.50740169629335,1.01563551655572,2.23727886328149,0.0416529586634007,0.837048526482026,63,435,"Yes"
"Flavobacterium.sp..140616W15",1.57750166774741,1.01722197498467,2.4463800163021,0.0417263331473611,0.837048526482026,50,448,"Yes"
"Azoarcus.communis",0.754620479812933,0.575480286526856,0.989524892311889,0.0417382764181061,0.837048526482026,272,226,"Yes"
"Solibacillus.silvestris",1.33824771414473,1.01084911336665,1.77168572513157,0.0418162893695062,0.837048526482026,179,319,"Yes"
"Chryseobacterium.gallinarum",0.235031421383375,0.0582800706402823,0.947832911501463,0.0418238624629711,0.837048526482026,16,482,"Yes"
"Streptomyces.alboflavus",1.39368746180489,1.01225187251656,1.91885517224407,0.0418909689219165,0.837048526482026,99,399,"Yes"
"Ectothiorhodospira.haloalkaliphila",1.73404279008277,1.0191297150229,2.95046288368744,0.0423728278417267,0.837048526482026,25,473,"Yes"
"Porphyrobacter.sp..CACIAM.03H1",0.448986457067371,0.206911390794526,0.974276176172913,0.0427754555520897,0.837048526482026,25,473,"Yes"
"Ruegeria.sp..TM1040",2.02206301682296,1.02298294573422,3.99687879553906,0.0428341233760375,0.837048526482026,14,484,"Yes"
"Paludisphaera.borealis",1.6416114306386,1.01603061530652,2.65236898239558,0.0428742976613952,0.837048526482026,33,465,"Yes"
"Ralstonia.pickettii",2.18046847635111,1.02496224337167,4.63865162556716,0.0429722410925668,0.837048526482026,464,34,"Yes"
"Flavobacterium.faecale",0.75742168467441,0.578483493912406,0.991709555159561,0.0433309218963902,0.837048526482026,282,216,"Yes"
"Frateuria.aurantia",0.307237017910973,0.0977757201115774,0.965419483150916,0.0433617985091274,0.837048526482026,17,481,"Yes"
"Bradyrhizobium.oligotrophicum",1.46252504265083,1.01135055379437,2.11497338124334,0.0433903013862577,0.837048526482026,78,420,"Yes"
"Planococcus.donghaensis",0.533807542091525,0.290131462280105,0.982142680267787,0.0436029900536491,0.837048526482026,47,451,"Yes"
"Halomonas.aestuarii",0.398791099424646,0.163282898817534,0.973980386997149,0.0436088465659744,0.837048526482026,24,474,"Yes"
"Sphingomonas.sp..HKS19",0.754846785376387,0.57434196435183,0.992080859068174,0.0436971734801491,0.837048526482026,254,244,"Yes"
"Saccharophagus.degradans",1.37335593955634,1.00865707496685,1.86991851197462,0.0439357716712478,0.837048526482026,112,386,"Yes"
"Schizosaccharomyces.pombe",1.51061395223106,1.01082670711321,2.25751307975638,0.0441673387132973,0.837048526482026,416,82,"Yes"
"Amycolatopsis.keratiniphila",0.548105825560736,0.30509680939277,0.984671051170732,0.0442573588708884,0.837048526482026,39,459,"Yes"
"Agrobacterium.tumefaciens",0.517447134885331,0.272235956278801,0.983527455597485,0.0443621147816893,0.837048526482026,484,14,"Yes"
"Catenulispora.acidiphila",1.46784968575814,1.00916008724366,2.13502567849777,0.0446791608299161,0.837048526482026,62,436,"Yes"
"Frankia.inefficax",2.50018947971215,1.02193737213419,6.11676175557504,0.0446961226205254,0.837048526482026,479,19,"Yes"
"Grimontia.hollisae",0.310395095617967,0.0988182792092998,0.974972607847434,0.0451379525827757,0.837048526482026,17,481,"Yes"
"Capnocytophaga.sputigena",0.680979624814163,0.467244921172424,0.992484301912635,0.0455847788127832,0.837048526482026,84,414,"Yes"
"Paenibacillus.sabinae",1.34245408043783,1.00565027708467,1.79205733757525,0.0456956849814955,0.837048526482026,186,312,"Yes"
"Geitlerinema.sp..PCC.7407",0.311273085617899,0.0989947683139365,0.978748023560431,0.0458561526386595,0.837048526482026,18,480,"Yes"
"Minicystis.rosea",1.99118294449101,1.01135720122015,3.92028604102345,0.0463011486336794,0.837048526482026,467,31,"Yes"
"Azospirillum.sp..TSA2s",0.506222193931645,0.259130603996502,0.988925683330045,0.0463098727659134,0.837048526482026,37,461,"Yes"
"Acidithiobacillus.ferrivorans",0.135513960111065,0.0189407581216423,0.969551127100876,0.0465068863936118,0.837048526482026,16,482,"Yes"
"Lactobacillus.brevis",0.623094836368597,0.390785712093525,0.993504017916325,0.0468843912310342,0.837048526482026,62,436,"Yes"
"Paenibacillus.sp..FSL.R7.0273",1.77763497897106,1.00700490538832,3.13800469248248,0.0472515732891793,0.837048526482026,20,478,"Yes"
"Clostridium.sp..MF28",1.92506911508226,1.00771458057487,3.67752056909754,0.0473412750385612,0.837048526482026,16,482,"Yes"
"Cryptosporidium.parvum",1.68764954040872,1.00607708506241,2.83095700471608,0.0473763276260444,0.837048526482026,444,54,"Yes"
"Desulfovibrio.salexigens",0.243158076393182,0.059983025936157,0.985709693575033,0.0476901130769492,0.837048526482026,14,484,"Yes"
"Chryseobacterium.sp..StRB126",0.631781233606423,0.400677260601849,0.996182130569882,0.0481063949413314,0.837048526482026,70,428,"Yes"
"Mycoplasma.dispar",0.756957647947959,0.57414127229195,0.99798587636728,0.048352303012107,0.837048526482026,303,195,"Yes"
"Alcanivorax.dieselolei",1.81941505748739,1.00356789067493,3.2985024552605,0.04864422686246,0.837048526482026,21,477,"Yes"
"Gordonia.polyisoprenivorans",0.75661594151105,0.573364149058712,0.998436480356278,0.0487213312776001,0.837048526482026,301,197,"Yes"
"Peptoniphilus.harei",0.684871022487503,0.469585471887946,0.998856109319763,0.0493092038806812,0.837048526482026,93,405,"Yes"
"Terasakiella.sp..SH.1",1.31531867548254,1.00082554896785,1.72863614428846,0.0493121333755079,0.837048526482026,258,240,"Yes"
"Acinetobacter.haemolyticus",0.704612142312752,0.496942440746381,0.999065948862976,0.0493900054165398,0.837048526482026,110,388,"Yes"
"Streptomyces.sp..11.1.2",1.48493051824231,1.00079214052401,2.20327334190777,0.0495420148591477,0.837048526482026,49,449,"Yes"
"Trueperella.pyogenes",0.247744884479264,0.0614898392184214,0.998173496073412,0.0497001986571773,0.837048526482026,17,481,"Yes"
"Acinetobacter.wuhouensis",1.36828960405955,0.999324333841055,1.87348228915962,0.0504948130972023,0.837048526482026,369,129,"Yes"
"Streptomyces.sp..3214.6",1.38890358966474,0.999101754406254,1.93078750275041,0.0506282761727367,0.837048526482026,94,404,"Yes"
"Prevotella.fusca",1.58897783616643,0.998591451572138,2.52841195451168,0.0506992762988186,0.837048526482026,42,456,"Yes"
"Confluentimicrobium.sp..EMB200.NS6",1.8501118867409,0.997901156374745,3.43011326481974,0.0507848227040289,0.837048526482026,19,479,"Yes"
"Rufibacter.sp..DG15C",0.410879207741349,0.168285892485378,1.0031840510269,0.050821508728976,0.837048526482026,27,471,"Yes"
"Planctomycetes.bacterium.SV_7m_r",0.470610260238429,0.220834255710738,1.00289702034173,0.0508823923925776,0.837048526482026,28,470,"Yes"
"Rhodospirillaceae.bacterium.R5959",0.511121162259724,0.260452945690233,1.00304046021595,0.0510405983753487,0.837048526482026,34,464,"Yes"
"Zhihengliuella.sp..ISTPL4",2.06531360288665,0.995678717229405,4.28403279537595,0.0513754254686617,0.837048526482026,13,485,"Yes"
"Luteimonas.sp..YGD11.2",1.96304474368268,0.995701760395297,3.87017962504187,0.051471634424599,0.837048526482026,14,484,"Yes"
"Lactobacillus.acetotolerans",1.6454369546984,0.996058266632111,2.71817710126703,0.0518300710274763,0.837048526482026,29,469,"Yes"
