"taxa","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","test.var"
"k__unclassified-p__Bacillariophyta",1013.83723177157,0.118041968293824,0.222578037276823,0.530339694509094,0.595876429751661,0.998491744224241,"HPV"
"k__unclassified-p__Bacteroidetes",2454.9659108283,-0.101307991612599,0.075107409960546,-1.34884150133544,0.177387881276495,0.597862859117074,"HPV"
"k__unclassified-p__Balneolaeota",1.52742828872014,-0.0576261569214442,0.161503822784363,-0.356809863246307,0.721234151868311,0.998491744224241,"HPV"
"k__unclassified-p__Caldiserica",1.07667184975454,-0.0545342081038306,0.185412696143366,-0.294123375789019,0.768663629186334,0.998491744224241,"HPV"
"k__unclassified-p__candidate",1.09949174879391,-0.0690770876567846,0.184107617479891,-0.375199508865131,0.707512095430321,0.998491744224241,"HPV"
"k__unclassified-p__Candidatus",14.3218634902525,-0.0515602007380432,0.0897593761084977,-0.574426906396043,0.565678949728098,0.989938162024172,"HPV"
"k__unclassified-p__Cercozoa",21.5018957572366,0.152472784508672,0.182457459622333,0.835662103507711,0.403345020400882,0.873914210868577,"HPV"
"k__unclassified-p__Chlamydiae",63.4371586176029,-0.12260537225664,0.0785561545981126,-1.56073541129756,0.118586192436429,0.520832214287982,"HPV"
"k__unclassified-p__Chlorobi",29.3812316399294,0.0661036314931899,0.0862185499829377,0.766698483171795,0.443260805703842,0.896371851534436,"HPV"
"k__unclassified-p__Chloroflexi",16.9027342987635,-0.0761399044610733,0.071738340403793,-1.06135581102804,0.288528230860311,0.772237323773186,"HPV"
"k__unclassified-p__Chrysiogenetes",1.35337963637598,-0.596114956249189,0.212665943670664,-2.80305791308239,0.00506205786466809,0.115161816421199,"HPV"
"k__unclassified-p__Ciliophora",1.05107835279055,-0.0345324511878596,0.18688501802527,-0.1847791307872,0.853402277198666,0.998491744224241,"HPV"
"k__unclassified-p__Coprothermobacterota",1.08265123705427,-0.064093317938475,0.185800830095842,-0.344957112976372,0.730126612824952,0.998491744224241,"HPV"
"k__unclassified-p__Crenarchaeota",36.3903428953046,0.0646136536546584,0.0410428692336948,1.57429670149895,0.115418871991757,0.520832214287982,"HPV"
"k__unclassified-p__Cryptophyta",358.150787843844,0.125706406715346,0.12719732593133,0.98827869056941,0.323016178709177,0.83112417275667,"HPV"
"k__unclassified-p__Cyanobacteria",174.2541940197,-0.128457149860225,0.0700612038750319,-1.83349903734675,0.0667283915940564,0.518287132575357,"HPV"
"k__unclassified-p__Deferribacteres",5.77365786776559,-0.11695902624097,0.105340851313373,-1.11029125721639,0.266873539284193,0.758921627339424,"HPV"
"k__unclassified-p__Deinococcus",70.0208474638544,-0.326366841133993,0.120159118869576,-2.71612212376691,0.0066051548484382,0.120213818241575,"HPV"
"k__unclassified-p__Dictyoglomi",2.22859840883928,0.115560500823384,0.125703358229885,0.919311165991666,0.357932839064855,0.83112417275667,"HPV"
"k__unclassified-p__Elusimicrobia",1.81956808055125,-0.141951191388588,0.14620737125115,-0.970889430360862,0.331603342094498,0.83112417275667,"HPV"
"k__unclassified-p__Euglenozoa",837.654754972606,-0.0363962399302539,0.0683570225927133,-0.532443318181234,0.594418989762824,0.998491744224241,"HPV"
"k__unclassified-p__Euryarchaeota",159.404217184626,0.0567041051438134,0.0319427932148407,1.77517679065927,0.0758687007081723,0.518287132575357,"HPV"
"k__unclassified-p__Evosea",51.1101474805898,0.16522428647651,0.102906888380567,1.60557071617483,0.108368263954401,0.520832214287982,"HPV"
"k__unclassified-p__Fibrobacteres",1.06220815321696,-0.00686989546830749,0.184888466690097,-0.037156971396288,0.970359846753042,0.998491744224241,"HPV"
"k__unclassified-p__Firmicutes",18128.3983704391,-0.263100742244463,0.11389000983417,-2.31013012140005,0.0208809512779484,0.200120205180154,"HPV"
"k__unclassified-p__Fusobacteria",252.700156033747,-0.0294407380010144,0.250172714859115,-0.117681650525294,0.906319906498547,0.998491744224241,"HPV"
"k__unclassified-p__Gemmatimonadetes",7.69597631921022,-0.167791928766223,0.14876834675583,-1.12787385505881,0.259373196920983,0.758921627339424,"HPV"
"k__unclassified-p__Ignavibacteriae",21.6964225222904,0.00639596494361349,0.0883618761933117,0.0723837611779638,0.94229650759578,0.998491744224241,"HPV"
"k__unclassified-p__Kiritimatiellaeota",2.14049935263587,0.202463463296396,0.157796447141759,1.28306731212085,0.199468494605801,0.625918379625101,"HPV"
"k__unclassified-p__Lentisphaerae",1.68365672595529,0.224510933218314,0.145584920817624,1.54213040717013,0.123041907189825,0.520832214287982,"HPV"
"k__unclassified-p__Negarnaviricota",16.8063258170533,0.00162444826445543,0.136428355496477,0.0119069694752524,0.990499837372662,0.998491744224241,"HPV"
"k__unclassified-p__Nitrospirae",5.75791653956099,0.164220062647199,0.115745810466354,1.4187991944204,0.155957567626828,0.545851486693898,"HPV"
"k__unclassified-p__Planctomycetes",189.095724112407,0.0678669415794853,0.044345618722491,1.53040917084025,0.125915480377314,0.520832214287982,"HPV"
"k__unclassified-p__Proteobacteria",30654.1418004373,-0.167940921036655,0.0950130842360969,-1.76755572547609,0.0771352052269163,0.518287132575357,"HPV"
"k__unclassified-p__Rhodophyta",18.8864162240472,0.227059587608848,0.155866202196699,1.45675960797649,0.145182749233102,0.545851486693898,"HPV"
"k__unclassified-p__Spirochaetes",143.104032046371,-0.403692736713845,0.138521355335796,-2.91429964524412,0.00356487553186084,0.108134557799779,"HPV"
"k__unclassified-p__Synergistetes",7.74226339548299,-0.0605558717339726,0.0777821544002768,-0.778531685074502,0.436255634900527,0.896371851534436,"HPV"
"k__unclassified-p__Tenericutes",198.646710908147,-0.00919384854003449,0.0592047397938373,-0.155289062531975,0.876593437853585,0.998491744224241,"HPV"
"k__unclassified-p__Thaumarchaeota",12.5122302105028,0.136368236313458,0.0550532180259876,2.47702570718184,0.0132482359364914,0.200120205180154,"HPV"
"k__unclassified-p__Thermodesulfobacteria",12.9703850244258,0.178428915227014,0.121904807987913,1.46367414191494,0.143283003968046,0.545851486693898,"HPV"
"k__unclassified-p__Thermotogae",14.6641947039911,-0.0388123181258837,0.0524011490359252,-0.740676852320067,0.458889397716243,0.897488931967093,"HPV"
"k__unclassified-p__Verrucomicrobia",25.4940335570061,-0.011541804602933,0.0610866521183801,-0.188941515088535,0.850138655203897,0.998491744224241,"HPV"
"k__unclassified-s__anaerobic archaeon MK-D1",3.9049344617344,-0.123742971741264,0.194701417469622,-0.635552495454076,0.525068140624711,0.955624015936975,"HPV"
"k__unclassified-s__bacterium 2013Arg42i",1.08809878640512,-0.0502342585013782,0.18430779619552,-0.27255634074257,0.785194276627579,0.998491744224241,"HPV"
"k__unclassified-s__Bovine faeces associated circular DNA molecule 1",1.03968455084921,-0.0387899796131276,0.188042609292908,-0.206282925763414,0.836569914988276,0.998491744224241,"HPV"
"k__unclassified-s__Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1)",1.03977690313383,-0.0387920092566444,0.188042729411009,-0.206293587516781,0.836561587231619,0.998491744224241,"HPV"
"k__unclassified-s__Changjiang crawfish virus 5",1.03695230106957,-0.0097022127363413,0.18719846887574,-0.0518284833984486,0.958665359575733,0.998491744224241,"HPV"
"k__unclassified-s__DPANN group archaeon LC1Nh",1.2275438505098,-0.112948227332792,0.176328079335373,-0.64055723715998,0.521810390450208,0.955624015936975,"HPV"
"k__unclassified-s__Hubei tetragnatha maxillosa virus 8",1.04813674107161,0.017790460524211,0.185186429037595,0.0960678415619717,0.923466691860318,0.998491744224241,"HPV"
"k__unclassified-s__Leptopilina boulardi filamentous virus",1.02831677633861,-0.0187528918288951,0.188311078330966,-0.0995846447012321,0.920674084972689,0.998491744224241,"HPV"
"k__unclassified-s__Mollivirus sibericum",1.8187353179338,0.244845838002198,0.139734874191462,1.7522171141523,0.0797364819346703,0.518287132575357,"HPV"
"k__Viridiplantae",76799.8240747272,-0.0493930670888642,0.0673817688209909,-0.733033103065071,0.4635382395874,0.897488931967093,"HPV"
"p__Acidobacteria",55.6951734329342,-0.136191883152809,0.0846693568070857,-1.60851444121767,0.107722555964475,0.499350664194894,"HPV"
"p__Actinobacteria",4581.48011829178,-0.0887120694258024,0.0610920747656276,-1.45210438123334,0.146472583919606,0.512720915075335,"HPV"
"p__Apicomplexa",22807.9249877187,0.015082992799936,0.0917050177898237,0.164472928128146,0.869358856738016,0.997727101373375,"HPV"
"p__Aquificae",37.5518901264774,0.0626094528612681,0.105744151406092,0.592084309427452,0.553794133308301,0.993056686397657,"HPV"
"p__Armatimonadetes",2.68367334073201,-0.140818693757482,0.121420558200074,-1.15975989441133,0.246146576972852,0.723055569857754,"HPV"
"p__Ascomycota",3996.41886027437,-0.00667057803827936,0.0714805036438971,-0.0933202439578626,0.925649149907367,0.997727101373375,"HPV"
"p__Bacillariophyta",1014.14161381261,0.117956424197721,0.22264893581345,0.529786606734798,0.59625989226957,0.997727101373375,"HPV"
"p__Bacteroidetes",2456.14656606394,-0.102389718394087,0.0751594842651243,-1.3622993743931,0.17310342499944,0.561093860343012,"HPV"
"p__Balneolaeota",1.52801591652292,-0.0585304481769438,0.161344723548035,-0.36276642266221,0.716779376480558,0.997727101373375,"HPV"
"p__Basidiomycota",1009.33662408669,-0.242991056656163,0.0891227063202351,-2.72647753517548,0.00640143100056522,0.10140285266901,"HPV"
"p__Caldiserica",1.07712723673625,-0.055423101940603,0.185310112545404,-0.299082986779923,0.764876727084592,0.997727101373375,"HPV"
"p__candidate",1.09993978057027,-0.0699660733726673,0.18400017068488,-0.380250046031163,0.703759812862511,0.997727101373375,"HPV"
"p__Candidatus",14.3284875316327,-0.0523508430845629,0.0898005656235815,-0.582967854612439,0.559914940202934,0.993056686397657,"HPV"
"p__Cercozoa",21.5042349928987,0.151440388851356,0.182517690248993,0.829729921766809,0.40669150002296,0.868840931867233,"HPV"
"p__Chlamydiae",63.4470818763019,-0.123325114179327,0.0784483148841589,-1.57205561854879,0.115937652991697,0.499350664194894,"HPV"
"p__Chlorobi",29.3806236221358,0.0656183484193276,0.0860791446105962,0.762302514925898,0.445879473252915,0.88739671157652,"HPV"
"p__Chloroflexi",16.9123845041238,-0.0772527110765235,0.0718144332602163,-1.07572680823926,0.282049454267129,0.736462463919726,"HPV"
"p__Chlorophyta",104.304562638922,0.109109581879255,0.0706546167894105,1.54426684111049,0.122523702018046,0.499350664194894,"HPV"
"p__Chordata",101754259.937307,-0.00617033972590052,0.00268431922733329,-2.298660927907,0.0215242008573923,0.189611326576609,"HPV"
"p__Chrysiogenetes",1.3544691580577,-0.597223968591454,0.212668167898039,-2.80824335157571,0.00498125694904337,0.10140285266901,"HPV"
"p__Ciliophora",1.05145918720161,-0.0354198363230007,0.186781223405446,-0.189632746146624,0.849596925070105,0.997727101373375,"HPV"
"p__Coprothermobacterota",1.0832248153269,-0.0649835385081084,0.185658523261141,-0.35001645691593,0.726326347086646,0.997727101373375,"HPV"
"p__Crenarchaeota",36.4019568733837,0.0637521736925885,0.0409820722308915,1.55561127639938,0.119800555649831,0.499350664194894,"HPV"
"p__Cryptophyta",358.419581007091,0.123670468903009,0.127296279309463,0.971516760535953,0.331291010971346,0.812636803315689,"HPV"
"p__Cyanobacteria",174.267736319405,-0.129029346669303,0.0698926774038741,-1.84610679490368,0.0648767004358932,0.499350664194894,"HPV"
"p__Deferribacteres",5.7766144742803,-0.117820983361551,0.105370441918425,-1.11815971553735,0.263498786058998,0.728496643810171,"HPV"
"p__Deinococcus",70.0519509047006,-0.327191547907661,0.120165955450682,-2.72283066098488,0.00647252251078784,0.10140285266901,"HPV"
"p__Dictyoglomi",2.22917707242081,0.114672671764473,0.125585094775859,0.913107339442929,0.361186090635413,0.816588618883312,"HPV"
"p__Elusimicrobia",1.82030438892319,-0.142830064182575,0.146080565195577,-0.977748573133944,0.32819869168999,0.812636803315689,"HPV"
"p__Euglenozoa",837.717502237542,-0.0372422175889048,0.0682122898619386,-0.545975185179722,0.585082994853885,0.997727101373375,"HPV"
"p__Euryarchaeota",159.438426407221,0.0559558956403573,0.0317525615364403,1.7622482386544,0.0780273650916754,0.499350664194894,"HPV"
"p__Evosea",51.126082313384,0.163911935884895,0.10289131197686,1.59305905168902,0.111146944322349,0.499350664194894,"HPV"
"p__Fibrobacteres",1.06263335300429,-0.00775800283746339,0.184782083759932,-0.0419846052149869,0.966510970554657,0.997727101373375,"HPV"
"p__Firmicutes",18140.3150584653,-0.264824128721142,0.113961073141209,-2.32381217043296,0.0201355631668512,0.189611326576609,"HPV"
"p__Fusobacteria",253.428040350504,-0.0354820029614206,0.250442592475405,-0.141677190811324,0.887334992275283,0.997727101373375,"HPV"
"p__Gemmatimonadetes",7.69763298026489,-0.167686939409231,0.148779367460174,-1.12708463728425,0.259706698041511,0.728496643810171,"HPV"
"p__Ignavibacteriae",21.6983943958182,0.00598079919071866,0.0882700925487714,0.0677556691969494,0.945980133476624,0.997727101373375,"HPV"
"p__Kiritimatiellaeota",2.14058436875627,0.201727408902722,0.157744348580895,1.27882495136916,0.200958705317268,0.609358654833006,"HPV"
"p__Lentisphaerae",1.68404052842485,0.223613444221426,0.145396206470751,1.537959274518,0.124058572740253,0.499350664194894,"HPV"
"p__Microsporidia",127.143592651198,-0.0331888515704446,0.0653366409425271,-0.507966909404463,0.611476549753863,0.997727101373375,"HPV"
"p__Negarnaviricota",16.8115533016125,0.000559529494420861,0.136461098269227,0.00410028573357187,0.996728454485363,0.997727101373375,"HPV"
"p__Nitrospirae",5.76179605551972,0.163301605706394,0.115821559673186,1.40994134569748,0.158557002889929,0.532298509701905,"HPV"
"p__Planctomycetes",189.111591663464,0.0672071931427416,0.0440974792706503,1.52405974795644,0.127493786602952,0.499350664194894,"HPV"
"p__Proteobacteria",30676.1336882388,-0.169068621280806,0.0951215929186872,-1.77739476488089,0.0755033115207432,0.499350664194894,"HPV"
"p__Rhodophyta",18.8889640953815,0.225909963422904,0.155881805674903,1.44923881555521,0.14727090113866,0.512720915075335,"HPV"
"p__Spirochaetes",143.198518285555,-0.40534745547378,0.138600645006708,-2.92457120566908,0.00344931154809211,0.10140285266901,"HPV"
"p__Streptophyta",76717.3371189,-0.0505656241589904,0.0674035276638757,-0.750192547950136,0.453138746336946,0.88739671157652,"HPV"
"p__Synergistetes",7.74505389212056,-0.0614303932403665,0.0777560537163058,-0.790040007232057,0.429504404170565,0.88739671157652,"HPV"
"p__Tenericutes",198.69742754675,-0.00987071144109512,0.0591204105552352,-0.166959453569306,0.867401952410902,0.997727101373375,"HPV"
"p__Thaumarchaeota",12.5156653858036,0.135494358615841,0.0549747866583307,2.4646636549577,0.0137141919272774,0.184162005880582,"HPV"
"p__Thermodesulfobacteria",12.9696289995385,0.17794776198843,0.12183884313131,1.46051749520183,0.144147902853616,0.512720915075335,"HPV"
"p__Thermotogae",14.6691347581203,-0.0396946866767533,0.052325536462472,-0.758610219031817,0.448085757849738,0.88739671157652,"HPV"
"p__unclassified-c__Candidatus",1.04617946897547,-0.0739012658694471,0.188824140653994,-0.391376153565373,0.695519216132851,0.997727101373375,"HPV"
"p__unclassified-f__Adenoviridae",120.478600902047,-0.0465318265491051,0.145605857154644,-0.319573865079375,0.749291388856063,0.997727101373375,"HPV"
"p__unclassified-f__Ascoviridae",1.04300691804767,0.00326937467875219,0.186075104487744,0.0175701885953665,0.985981739059531,0.997727101373375,"HPV"
"p__unclassified-f__Asfarviridae",1.08563653139626,0.0449644577971653,0.180994755695012,0.248429616783668,0.803802020798782,0.997727101373375,"HPV"
"p__unclassified-f__Baculoviridae",14.3658207600611,-0.0559208349055051,0.0649491533253409,-0.860994055232537,0.389241317227414,0.85089962370644,"HPV"
"p__unclassified-f__Bromoviridae",1.03445274776395,-0.0296954783773194,0.188073369881419,-0.157893052036248,0.874541073060612,0.997727101373375,"HPV"
"p__unclassified-f__Endornaviridae",1.10725901237386,-0.178144372568954,0.195679781308718,-0.910387222315527,0.362618333975272,0.816588618883312,"HPV"
"p__unclassified-f__Geminiviridae",1.03161761221494,-0.00053337004133371,0.187235427317293,-0.00284865983417684,0.997727101373375,0.997727101373375,"HPV"
"p__unclassified-f__Hepadnaviridae",1.15586664998297,-0.183585293987361,0.19127529825419,-0.959796145466682,0.337157822652254,0.812636803315689,"HPV"
"p__unclassified-f__Iridoviridae",1.02880387469202,-0.0196428492542546,0.188204062414215,-0.104369953561486,0.916875766016909,0.997727101373375,"HPV"
"p__unclassified-f__Leviviridae",1.02313921889806,-0.00951936853057921,0.188340664967948,-0.0505433520275572,0.959689403608983,0.997727101373375,"HPV"
"p__unclassified-f__Marseilleviridae",1.08008217644259,-0.0602031910288934,0.185265282730647,-0.324956679101186,0.745213858898728,0.997727101373375,"HPV"
"p__unclassified-f__Microviridae",8.46900255543027,0.0603763637245593,0.0666298636070975,0.906145689875431,0.364858744607437,0.816588618883312,"HPV"
"p__unclassified-f__Mimiviridae",3.51288578917628,0.0631100223638098,0.100522648116788,0.627818939772536,0.530122557391515,0.977088635192205,"HPV"
"p__unclassified-f__Nimaviridae",1.07416936009685,0.0867722286726862,0.180470303173118,0.480811674535999,0.630650352111557,0.997727101373375,"HPV"
"p__unclassified-f__Nudiviridae",250.030287939198,0.204053303247405,0.0862813873036301,2.36497476019164,0.0180312997436801,0.189611326576609,"HPV"
"p__unclassified-f__Papillomaviridae",24790.2818378895,11.5712957204819,0.24509571615984,47.2113340117935,0,0,"HPV"
"p__unclassified-f__Phycodnaviridae",5.46207072284506,-0.0071809344292655,0.0817065897387611,-0.0878868455068919,0.929966611909623,0.997727101373375,"HPV"
"p__unclassified-f__Pithoviridae",1.04873671889963,0.0169039343007978,0.185082341125902,0.0913319671556288,0.927228818011402,0.997727101373375,"HPV"
"p__unclassified-f__Potyviridae",1.03178776076096,-0.02468111243607,0.188149199622101,-0.131178407804243,0.895634176421265,0.997727101373375,"HPV"
"p__unclassified-f__Poxviridae",10.7556482769695,0.474973576364219,0.0789943071074105,6.012757042332,1.82394296628061e-09,8.57253194151888e-08,"HPV"
"p__unclassified-f__Reoviridae",1.0231569079598,0.0146811432502688,0.187437765731179,0.0783254281387687,0.937569190863922,0.997727101373375,"HPV"
"p__unclassified-f__Tectiviridae",1.07723959719858,-0.00882107450187897,0.183631199739415,-0.0480369050270142,0.961686830585468,0.997727101373375,"HPV"
"p__unclassified-f__Tombusviridae",1.20189088766056,0.389241919139164,0.170188341624562,2.28712446119158,0.0221885594930075,0.189611326576609,"HPV"
"p__unclassified-f__Virgaviridae",1.10969156070492,0.0511618452776842,0.180315898696131,0.28373452173456,0.776613836956606,0.997727101373375,"HPV"
"p__unclassified-g__Pandoravirus",9.85978662525594,0.131077387430969,0.0821656676596009,1.59528171759039,0.110649252045583,0.499350664194894,"HPV"
"p__unclassified-g__Thermobaculum",1.20302404725511,0.00778460674931531,0.173679058175076,0.0448217927429576,0.96424935445022,0.997727101373375,"HPV"
"p__unclassified-g__Vampirococcus",1.14387877217888,-0.208528733876069,0.19110270977415,-1.09118669286539,0.275190742094946,0.736462463919726,"HPV"
"p__unclassified-o__Caudovirales",29980.3190835965,-0.162942800760134,0.124932906343824,-1.30424245724104,0.192150927983585,0.602072907681901,"HPV"
"p__unclassified-o__Herpesvirales",68.0414905849672,-0.174642239462188,0.111560611833114,-1.56544712862851,0.117478105244144,0.499350664194894,"HPV"
"p__unclassified-o__Ortervirales",53617.0335071361,0.0574800701412753,0.184529181739488,0.311495827377718,0.755423714491366,0.997727101373375,"HPV"
"p__unclassified-o__Picornavirales",1.03448429640003,0.0183229019005812,0.186278831429477,0.0983627702620521,0.921644236305525,0.997727101373375,"HPV"
"p__unclassified-s__anaerobic archaeon MK-D1",3.90623810206669,-0.124628858394033,0.194759173230362,-0.639912648666982,0.522229390217241,0.977088635192205,"HPV"
"p__unclassified-s__bacterium 2013Arg42i",1.08857366077762,-0.051124227532095,0.184203596988366,-0.277541961003747,0.781363990552976,0.997727101373375,"HPV"
"p__unclassified-s__Bovine faeces associated circular DNA molecule 1",1.04010848298343,-0.0396786499629703,0.187940186949588,-0.211123818737147,0.832790654444781,0.997727101373375,"HPV"
"p__unclassified-s__Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1)",1.04025864071044,-0.0396816430115215,0.187940368617272,-0.211139540182187,0.832778387035907,0.997727101373375,"HPV"
"p__unclassified-s__Changjiang crawfish virus 5",1.03734622041708,-0.0105897379054537,0.187095798692967,-0.0566006183967391,0.954863341927075,0.997727101373375,"HPV"
"p__unclassified-s__DPANN group archaeon LC1Nh",1.22809136439642,-0.113840028439875,0.176191190743761,-0.64611645996215,0.51820393631018,0.977088635192205,"HPV"
"p__unclassified-s__Hubei tetragnatha maxillosa virus 8",1.04852199662951,0.0169036828324174,0.185082341459705,0.0913306083071011,0.927229897703186,0.997727101373375,"HPV"
"p__unclassified-s__Leptopilina boulardi filamentous virus",1.0287414186998,-0.0196416126846267,0.188208183730054,-0.104361097882963,0.916882793449701,0.997727101373375,"HPV"
"p__unclassified-s__Mollivirus sibericum",1.81931097181736,0.243950608804419,0.139522611995197,1.74846646945526,0.0803832868235869,0.499350664194894,"HPV"
"p__Verrucomicrobia",25.500570767716,-0.0123826959238332,0.0610223668248302,-0.202920610394854,0.839197084640196,0.997727101373375,"HPV"
"c__Acidimicrobiia",3.82924471021998,-0.367098426446703,0.155372462591082,-2.36269941484325,0.0181423778784136,0.200633355361279,"HPV"
"c__Acidithiobacillia",3.67215020931472,0.266411944994394,0.0968426668790063,2.7509769565438,0.00594178228885121,0.099425544437159,"HPV"
