Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PDE6B	122.425479210395	1.9341924496962	0.176101758114726	10.98337955511	4.5940891153607e-28	1.06497116008248e-25
RAMP2-AS1	35.1608766682464	1.85154333764669	0.168581640939847	10.9830662895692	4.61005245442107e-28	1.06497116008248e-25
MGAT3	518.726436551841	2.21056350445372	0.201514161327555	10.9697675334118	5.3409534073216e-28	1.22082950778935e-25
SCGB3A1	483.912203351476	-3.77190297352627	0.344457942526467	-10.9502569337226	6.62594017899862e-28	1.49832997828265e-25
MCM5	6510.89126831363	0.746073217834343	0.0681386158258288	10.9493450782946	6.6929775681979e-28	1.49832997828265e-25
CDC7	631.799810147724	0.834439280543931	0.0762718615280828	10.9403292882356	7.39308972527627e-28	1.63817289167729e-25
SLFN13	936.132667778998	1.50568060617583	0.137957264415997	10.9141088912549	9.86923862060344e-28	2.16475269339802e-25
SLF1	414.986683907554	0.679821584136487	0.0624255771261547	10.8901129221865	1.28480865868389e-27	2.78996200233206e-25
MUCL1	492.237930100553	-3.04743962797467	0.280157859461607	-10.8775803535588	1.47424379039773e-27	3.16962414935513e-25
ZBTB8B	8.81622348352138	2.6002523497857	0.240483825893235	10.8125872504212	3.00085088679831e-27	6.38857617713974e-25
ZNF367	699.95381060945	1.00657550759073	0.0935906810057273	10.7550826297453	5.60837329131338e-27	1.1823866603968e-24
VCAM1	2032.04190674893	2.04658674401075	0.191035639408515	10.7131148425885	8.83385726198804e-27	1.84449240811606e-24
TCF19	2338.86833140067	0.828132700620802	0.0774268003226323	10.6956854366967	1.06628323605195e-26	2.20517528293982e-24
ADARB2	116.604405840018	2.41235502959878	0.225665874024042	10.689941667218	1.13442305290017e-26	2.32396194280445e-24
NEURL1B	2851.8207327649	1.00633693055782	0.0941849687744069	10.6846872027766	1.20053070305499e-26	2.43640413241486e-24
CES1	3946.64780132726	-3.24841688440483	0.304624238370203	-10.6636848787361	1.50513243967514e-26	3.02629175255052e-24
CHAF1B	979.47683273524	0.798659604686883	0.07498593384471	10.6507922717992	1.7288731051986e-26	3.44426417242087e-24
CDC25C	350.01616215108	0.897623710482627	0.084409620220431	10.634139901809	2.06727294556126e-26	4.08098472844206e-24
CBLN2	96.1047484068011	3.02421958540455	0.288934804261002	10.4667888423462	1.22736046250189e-25	2.40109301290347e-23
TXNDC16	425.14140875292	0.95094588931023	0.0909394234074566	10.4569157542323	1.36217665835356e-25	2.64104161929888e-23
AJM1	200.562018625322	1.1689616773049	0.112011704358501	10.436067230649	1.69696026087959e-25	3.26101699690269e-23
C14orf39	15.4501227867894	2.37938695870848	0.228369102014054	10.419040657094	2.02990336498774e-25	3.86660978690428e-23
RNF32	93.0171114692922	0.938659025824133	0.0903293966267351	10.3915121862589	2.71021619486441e-25	5.10876953232059e-23
YBX2	214.910115050474	2.41145050246621	0.232074397006298	10.3908510959129	2.72906868869072e-25	5.10876953232059e-23
ARHGAP26	1191.00438048247	1.14229287149308	0.10995029261172	10.3891753660629	2.77744014130002e-25	5.15488142464358e-23
RANBP17	85.8043256213236	2.11352923616228	0.203581672712365	10.3817264491604	3.00294830685308e-25	5.52618834604361e-23
MGA	2232.37884339544	0.624702114114697	0.0602523505180612	10.3680953314417	3.46359376629006e-25	6.32033097773015e-23
E2F8	496.130081758994	0.927682343845905	0.0895408547704928	10.3604365428909	3.75245478218823e-25	6.79037963293478e-23
CELF4	15.5472245155284	1.87717652923036	0.181648310967434	10.3341259780109	4.93893825828495e-25	8.86355737840147e-23
LOC541473	3.84350333639731	2.29421329780046	0.222246650003446	10.3228251033925	5.5563739162156e-25	9.88989013037883e-23
ATF5	2928.98713039961	0.970538644260223	0.094222419348879	10.3005065139178	7.00912619394269e-25	1.23742418944281e-22
MYO3A	194.638476691882	2.90407730970788	0.283819369785375	10.2321321899346	1.42350182149575e-24	2.47329074550342e-22
PIK3R3	1189.72874293605	1.04207018241799	0.101843065717031	10.2321171803033	1.42372251065129e-24	2.47329074550342e-22
ZMAT1	101.854306257685	1.75281096226721	0.171693984818854	10.2089246988852	1.80857976254637e-24	3.09274956634279e-22
USP1	3032.45184972787	0.55333521964334	0.0542011870312504	10.2089133089338	1.80879205583944e-24	3.09274956634279e-22
LIPE	346.0162176773	1.15623261460777	0.113277292488268	10.2070996685193	1.842912709861e-24	3.1264726167681e-22
ZNF667	78.6273000892469	1.74843967363035	0.171403362421034	10.2007314730238	1.96784785693751e-24	3.31254389251147e-22
ASCL4	9.83339581069981	3.0192497842943	0.296641275066182	10.178117605585	2.48318324339119e-24	4.14787108694152e-22
LOC101927023	13.8438085075437	4.28214889714477	0.42142642926931	10.1610829310572	2.95772757596835e-24	4.90282857344677e-22
BRIP1	672.831373273455	0.836644979025903	0.0824222767715338	10.1507142461619	3.28947055616599e-24	5.41142826720791e-22
RHOXF1	6.24182754539372	2.64232126057377	0.260391328860618	10.1475009637827	3.3995712270152e-24	5.55050294696504e-22
C1QTNF4	16.7056584719538	2.22832782347281	0.219701869585576	10.1425073335794	3.57796000720663e-24	5.79816429526059e-22
BCL2	640.902710956085	1.37598371580486	0.135890228106439	10.1257002433397	4.24926167545365e-24	6.83501609499823e-22
PRIM1	581.157931859402	0.700584017051486	0.0693565711859292	10.1011916401314	5.45749462273356e-24	8.71393350975436e-22
ASRGL1	161.070877285602	1.56276777433626	0.154917216483927	10.0877604814078	6.25809584676846e-24	9.91931031478665e-22
DONSON	842.169773834428	0.676804093437799	0.067329801946146	10.0520731366348	8.99547642566998e-24	1.41548384480742e-21
GGA2	4225.73995970856	0.653831638340735	0.0652703892206232	10.0172780666389	1.27978972057142e-23	1.9993261713819e-21
ARHGAP4	1693.14971307783	1.28512606713738	0.128539149000415	9.99793508149979	1.55607837907164e-23	2.41358871439577e-21
PRH1	138.268859958054	-2.39067816233943	0.239140649362656	-9.99695438107625	1.57156119763305e-23	2.42031570259586e-21
RFC5	1336.49795421559	0.638092540673399	0.0638925491446089	9.98696325653239	1.73825414553902e-23	2.65818230777323e-21
HMGB2	6238.62271995188	0.812270910365163	0.0813959884913151	9.97924990433443	1.87881699804017e-23	2.85304273513583e-21
SOWAHA	27.4378437725399	1.91679190750676	0.192194269926765	9.9732000763454	1.99689121039042e-23	3.01128421066861e-21
ZNF180	390.479517542323	0.628363745421166	0.0630803501413291	9.9613230429657	2.25047614881273e-23	3.35492196335138e-21
NR5A1	184.422277491475	-3.67193706869466	0.368627893707878	-9.96109391440821	2.25566938360259e-23	3.35492196335138e-21
CENPK	450.501203729301	0.926879202476232	0.0931463626334646	9.95078257777543	2.50207799742677e-23	3.69609685130083e-21
SPIB	373.15052337664	2.53069010326167	0.254870225784662	9.92932813344713	3.10339509195422e-23	4.55339354201256e-21
MNS1	127.4138276356	1.19338063680103	0.120314227771895	9.91886544842871	3.44651396735417e-23	5.02288931550979e-21
MUC5B	1925.1197845215	-3.56625691489719	0.360067166740681	-9.90442129777856	3.98269041979825e-23	5.7656081643946e-21
CDK2	2306.95977580037	0.53961707733118	0.0546138262846254	9.88059460472358	5.05321666765918e-23	7.26692714822643e-21
ZPBP2	9.86541102525124	4.32436357192732	0.438170599217585	9.86913220478295	5.66525967798127e-23	8.09349433601074e-21
HAUS5	1145.24568588734	0.599064993615178	0.0608451885853738	9.84572498735231	7.15216958638797e-23	1.01509387299617e-20
CHAF1A	2303.79282407571	0.692612816699955	0.0703561517734921	9.8443817525692	7.24834904348277e-23	1.02206428233265e-20
CBX5	6195.08336461764	0.755986718235822	0.076806640692555	9.84272598591987	7.36867020165823e-23	1.02240424670374e-20
LOC100996842	291.172309377199	1.08071109624871	0.109800900815401	9.84246111118544	7.38810070018158e-23	1.02240424670374e-20
KRT36	23.5208678754611	2.46501969934943	0.250448845322188	9.84240792237765	7.39200859923958e-23	1.02240424670374e-20
MAGI3	927.686685519654	0.80829247068756	0.0821548777304862	9.83864248863239	7.67392689614991e-23	1.05467925664491e-20
SGO1	317.062011400365	0.742323116304398	0.0758417973573873	9.78778381011158	1.27050018508881e-22	1.73515166787443e-20
MIR924HG	74.4226567256632	1.4821494490717	0.151792929745805	9.76428514525506	1.60238039978621e-22	2.17473064883485e-20
CYB5RL	109.526389141523	0.821317691442592	0.0842264199111964	9.75130715882907	1.82108095816803e-22	2.45619708115644e-20
RGPD3	7.72815968641733	1.57588979503516	0.161919189114749	9.73256970746287	2.18989629194874e-22	2.93540728269549e-20
PKDCC	419.803543199536	2.07820670638178	0.213576412284888	9.73050667978108	2.23477009418712e-22	2.97717991382045e-20
BRD8	1777.67739091259	0.512893800038289	0.0528324104740566	9.7079386580354	2.78920675866516e-22	3.69314785148865e-20
HELLS	1200.07523142904	0.804446554545022	0.0828766545593134	9.70655196958141	2.82740161551893e-22	3.72103188369658e-20
DSCAML1	19.5569599627572	1.80629302958792	0.186106161274736	9.70571321881928	2.85075487987076e-22	3.72916519375865e-20
BARD1	659.843178242794	0.752479451664898	0.0776764818945465	9.68735237888944	3.41260378596379e-22	4.4374066594134e-20
FANCL	738.637325317292	0.663605619753262	0.0688517993468048	9.63817396275581	5.51604351042057e-22	7.12981457314183e-20
KCNS1	265.083237617709	2.46440550436573	0.255853276303259	9.63210454043472	5.85184859332948e-22	7.51910604758282e-20
C6orf58	35.5917189241459	-2.71747401916948	0.282958127431388	-9.60380266804111	7.70481828637427e-22	9.84177229933043e-20
MCM3	7092.11380528572	0.612526521621437	0.0638691881919486	9.59032890445683	8.78046593996802e-22	1.11501647886787e-19
CEP70	918.51037261429	0.880318987485625	0.0918068154993072	9.58881955220708	8.90985230064176e-22	1.12486885295602e-19
MEIS1	751.06551179208	0.957758609803346	0.0999133660033683	9.58589073829279	9.16632478394592e-22	1.15055920626235e-19
WDR48	1527.92578315616	0.470608139683753	0.0492612841488392	9.55330637061443	1.25621726397112e-21	1.56774470615706e-19
PCNA	7958.3211996277	0.653711708602709	0.0684866816544191	9.54509245901722	1.35986247558289e-21	1.68739506613043e-19
SLIT1	29.9955603848968	1.51908011373164	0.15973495361271	9.51000441277724	1.9065444855483e-21	2.35230758543644e-19
ZDHHC23	413.666833239403	0.971696160483887	0.102353921141609	9.49349228291433	2.23421025654475e-21	2.73500450541662e-19
KNTC1	1637.78725291832	0.666616516769957	0.0702209126134903	9.49313376827135	2.24191020936753e-21	2.73500450541662e-19
C3orf70	229.489703153321	1.45047765079781	0.152910007469506	9.48582551790844	2.40472050881783e-21	2.91723496363012e-19
MIS18A	795.193211590901	0.583421397383214	0.0615336046364708	9.48134601946303	2.51023850608915e-21	3.02832384220699e-19
CASQ1	199.484308816945	-2.63744962600745	0.278190133069848	-9.48074468674716	2.52474765706037e-21	3.02899974436828e-19
CCNE2	321.109095394304	0.942829410935415	0.099540847643628	9.47178402891337	2.75104350820369e-21	3.28235768025512e-19
KIF15	634.607898918311	0.767348690763565	0.0810718410726354	9.46504582369194	2.93432373915759e-21	3.48190382490749e-19
FANCD2	1053.80182874952	0.682947836498517	0.0723464741091966	9.43996020411037	3.72921009863664e-21	4.40107593977688e-19
WDR87	5.9336200256836	3.0483822976067	0.323852511504102	9.41287218508446	4.82761085674539e-21	5.66657133806628e-19
ZADH2	1352.47855426853	0.585121493763954	0.0623553284309763	9.3836646921305	6.37186767605254e-21	7.43898422502585e-19
PRRG3	74.9850850976361	2.18577700981781	0.23324719307183	9.37107530012024	7.17972880255596e-21	8.33226547730432e-19
KIAA1328	241.203262977427	0.575690138294319	0.0614359367976006	9.37057638090419	7.2137504477698e-21	8.33226547730432e-19
POLA1	1281.64748849309	0.625167659312325	0.0667296708075145	9.36866092319947	7.3458543340114e-21	8.43995909328347e-19
RMI2	1208.57654737092	0.870157514889504	0.0930254109822125	9.35397657158308	8.44129490587551e-21	9.6475115200572e-19
RNF150	398.107366858121	1.7482306583167	0.186992748006043	9.34918961809261	8.83218215265238e-21	1.00414049971124e-18
FANCC	907.287175332998	0.632444198349873	0.0677079064434767	9.34077320612246	9.56331501297579e-21	1.08160096618109e-18
TMEM150C	366.716159006427	1.34576401768697	0.144138460197259	9.33660603731469	9.94715774422049e-21	1.11918409541838e-18
ARNT2	691.42492056389	1.6704715824665	0.179079624854946	9.3280940465426	1.07791745904909e-20	1.2065452383119e-18
ZWINT	2415.57713703954	0.64532831315179	0.0692028367006857	9.32517139352174	1.10804362021336e-20	1.23390601091964e-18
STMN1	10753.902548087	0.756716641373108	0.0811525607902252	9.32461815135048	1.11383934705337e-20	1.23403170516653e-18
SHOC1	114.376533127019	1.0703534617833	0.11479997299589	9.32363861985943	1.12417446882327e-20	1.23915982692879e-18
CENPH	795.942962342514	0.765489477505262	0.0821481502366202	9.31840187880482	1.18105759594682e-20	1.29528614626188e-18
GFY	5.77452293238015	2.22243071616971	0.239215052849302	9.29051365998181	1.53545507813635e-20	1.67549784028798e-18
SCAI	402.399876870883	0.586810210819755	0.063340447778741	9.26438368212336	1.9620716917526e-20	2.13031933932038e-18
JADE1	808.793652665389	0.701744959998561	0.0758117713271001	9.25641160619751	2.11418072641931e-20	2.28405146637788e-18
RNF212	271.62281192481	2.13982399280595	0.231553774899675	9.24115356673873	2.4385385513193e-20	2.62142894266825e-18
CIT	1932.03103949307	0.749132151731443	0.0811293943689666	9.2337944533948	2.61210789704619e-20	2.79418339824424e-18
TBR1	7.3425296098777	2.88008539648914	0.3121875883861	9.22549615562288	2.8225112102823e-20	3.00445249663138e-18
GCSAM	224.216371256324	0.928841149939622	0.100747115137831	9.21953098774971	2.98402556696861e-20	3.16088366764504e-18
TRAF2	2124.28564059881	0.81857138491196	0.0888006995972883	9.21807360329577	3.02485500808425e-20	3.18857895633736e-18
WSCD1	116.840437775198	1.63956016653812	0.178156819519607	9.2029043342777	3.48403038702122e-20	3.65486569343796e-18
PYGM	263.397031442715	-2.25781727931277	0.24558307150201	-9.19370079339644	3.79553334568585e-20	3.96250031738309e-18
RBBP4	6416.01074330188	0.442962023090709	0.0481934783468874	9.19132708999243	3.88024262748682e-20	4.03155352420461e-18
SP5	38.7301746795979	1.84063677113414	0.201215442610189	9.14759199024285	5.82167094724315e-20	6.01988498187548e-18
ZNF473	623.084885836803	0.501398536580625	0.0548520543533432	9.14092539453018	6.19201754555468e-20	6.37249578207204e-18
HMGN2	10341.3734273879	0.553573079787749	0.0606154107163028	9.13254687621647	6.6906400124561e-20	6.83586453584396e-18
E2F2	900.913139317379	0.854068508627004	0.0935216164773405	9.13231123238698	6.70522286960517e-20	6.83586453584396e-18
TMEM178B	464.500042170146	2.13904411376304	0.234712410232075	9.11346831489665	7.97895283863591e-20	8.09640004163453e-18
IGFALS	10.0590178668767	1.66262340555691	0.182659548682341	9.10230764036504	8.84325333100379e-20	8.93168586431383e-18
CENPU	1364.95776653283	0.78263060723692	0.0862176011275338	9.07738787674278	1.11211702188834e-19	1.11803801529191e-17
KL	47.5740740758011	1.31444334262113	0.144851188203213	9.07443949149447	1.14264085933284e-19	1.14343070324482e-17
MECOM	910.128233670882	1.28472918949037	0.141682870970205	9.0676394450007	1.21623261102423e-19	1.21149041965097e-17
KCNA2	24.6964018869065	2.49324530991614	0.275032838792979	9.06526406394998	1.24302796902115e-19	1.23098915102684e-17
FAM184A	60.790504408672	1.47143690470985	0.162322400446839	9.06490355403378	1.24714535218009e-19	1.23098915102684e-17
CBFA2T2	1836.82482144466	0.653622410433254	0.0721522166649996	9.05893735001935	1.31727568891504e-19	1.29432767351992e-17
ERO1B	442.613053938653	1.03447002081883	0.114216788799111	9.05707498604512	1.33995483644984e-19	1.31068104835623e-17
PSIP1	2281.9809676094	0.825271070566868	0.0911947053477717	9.04955027180241	1.43558367870991e-19	1.39792374812492e-17
LINC00682	1.58651411002807	3.96104921966542	0.438192765537407	9.03951304355178	1.57371283113106e-19	1.52558813071477e-17
GAD2	2.19552233101868	2.98234356357477	0.33006336578605	9.03566973109022	1.630012048881e-19	1.57314273962004e-17
FOXD3	44.706578320734	1.84400117936282	0.204320753405205	9.02503122483029	1.79644132161079e-19	1.72609395127338e-17
POLE	2922.90373099996	0.537297226534273	0.0595517338960039	9.02236075061329	1.84078901681471e-19	1.76091337004984e-17
LIN54	953.969032446606	0.50702366918785	0.0564717051393388	8.97836656316318	2.74816162772107e-19	2.61738288359487e-17
MMP13	11194.8785380366	-2.34806914358448	0.261723498453457	-8.97156410280081	2.92333247836762e-19	2.7720595968451e-17
LINC02432	11.388354270587	2.35199741161254	0.262301417683484	8.96677354009067	3.05327011125095e-19	2.8826852376441e-17
NKX2-3	76.0593495490938	2.63280082528987	0.293879840242162	8.95876635539343	3.28331029196836e-19	3.08645380909493e-17
NEMP1	1703.86812376012	0.686307808001992	0.0768871854662847	8.92616635450833	4.41027102105179e-19	4.12797565612671e-17
SAP30L	1597.68030950467	0.473851359209014	0.0531858104923235	8.90935674050519	5.1329500892078e-19	4.78377730416942e-17
