Taxonomy	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	tax_class
g__Burkholderia	256.933823298921	-0.888409915933586	0.19579408976123	-4.5374705488659	5.69329782634627e-06	0.00113296626744291	genus
f__Oxalobacteraceae	8.93482865374722	-0.731367742218528	0.16184173868072	-4.51903043170688	6.21234660150926e-06	0.000748587765481866	family
g__Snodgrassella	1.97160259188493	-1.10645776344681	0.247723022684373	-4.46651163649234	7.9505339643112e-06	0.00116639123180453	genus
s__Snodgrassella alvi	1.960839614279	-1.10552360824068	0.247794687281126	-4.46145000270508	8.14069406360183e-06	0.000654511802713588	species
g__Cutibacterium	25.0485667004648	-1.0841838405094	0.243104510822489	-4.45974382310432	8.20576745993134e-06	0.00116639123180453	genus
g__Kocuria	15.8410131023699	-0.70314376423735	0.161419119907945	-4.3560128728142	1.32452990171475e-05	0.00164738406525772	genus
g__Pandoraea	26.7634397312729	-0.522405889875389	0.126391315445499	-4.13324197183985	3.5768180898383e-05	0.00365160935303572	genus
g__Noviherbaspirillum	3.05901739793187	-0.962558341294088	0.233215616222151	-4.12733228111619	3.66995914877962e-05	0.00365160935303572	genus
s__Noviherbaspirillum sp. UKPF54	3.03460421245055	-0.958258269113356	0.2331909005941	-4.10932959507426	3.96809395258844e-05	0.00303842622655344	species
s__Vibrio cholerae	4.23276131012901	-1.17455453029602	0.287403312007243	-4.08678147128111	4.37398750849708e-05	0.00319698723348332	species
s__Streptococcus constellatus	1.7485462155366	-1.10240834948006	0.271767179380892	-4.05644401944135	4.98254976232116e-05	0.00348345218165758	species
s__Cluster bean endornavirus 1	1.11224099996809	0.668393280875283	0.169610254438608	3.94075985020832	8.12239110496887e-05	NA	species
s__Streptococcus agalactiae	6.28963414587249	-1.18599087139015	0.301347394286673	-3.93562676789536	8.29798485547508e-05	0.00540958295248741	species
c__unclassified-f__Endornaviridae	1.11582657172857	0.667705485225454	0.169772319654507	3.93294670523592	8.39108470400916e-05	0.00623737296331347	class
s__Geobacillus thermoleovorans	7.8318270156031	-0.932363719119806	0.237098270471589	-3.93239359049449	8.4104212569767e-05	0.00540958295248741	species
g__unclassified-s__Cluster bean endornavirus 1	1.11721935281128	0.667733559033211	0.170003415330997	3.92776555537507	8.57387281693978e-05	NA	genus
s__Streptococcus anginosus	1.89051484677561	-1.04542440586873	0.268936012889763	-3.88726074516935	0.000101381833820961	0.00627007649169634	species
p__unclassified-f__Endornaviridae	1.10725901237386	0.662072181411721	0.170327202512193	3.8870607374904	0.000101465372554243	0.00476887251004943	phlyum
k__unclassified-f__Endornaviridae	1.10680466825005	0.661707748181909	0.170425303088137	3.88268488417886	0.000103309411665393	0.00470057823077537	kingdom
s__Rahnella aquatilis	1.84203072088186	0.845005737073333	0.218395606487264	3.86915172271385	0.000109214666844282	0.00650434015872612	species
f__Endornaviridae	1.12602226848408	0.654743769003584	0.170778691347086	3.83387273809765	0.000126141420324247	NA	family
s__Pseudomonas sp. AK6U	2.36291630302038	-1.1309202154676	0.295517455263912	-3.82691511219744	0.000129759238034749	0.00745188766999561	species
s__Burkholderia contaminans	18.9875668754853	-1.42532055037165	0.37332223185435	-3.81793643333766	0.000134572586566196	0.00746181790339457	species
s__Citrobacter amalonaticus	1.97087948426569	-0.928461373237621	0.244564498501098	-3.79638655212851	0.000146820505154895	0.00786957907630237	species
o__unclassified-f__Endornaviridae	1.12105118118298	0.648499295245998	0.171046410558949	3.79136453741894	0.000149821858692446	0.0180785042822218	order
f__Propionibacteriaceae	43.4801499786979	-0.601234439113368	0.159113822359387	-3.7786436790851	0.000157684863004052	0.0152008207935906	family
s__Actinoplanes sp. SE50/110	1.58517524213132	-0.967227020144993	0.259376001416573	-3.72905363203425	0.000192200245551687	0.00959580094863393	species
s__Streptomyces ambofaciens	3.8418758438503	0.70407175867624	0.188895816436818	3.72730202265616	0.000193540481432808	0.00959580094863393	species
s__Pseudomonas yamanorum	3.34722175376504	-1.09218952396418	0.29336873388613	-3.72292408088762	0.000196928750811517	0.00959580094863393	species
g__unclassified-s__Tardibacter chloracetimidivorans	1.78185628342037	-0.833421195670993	0.225268890210749	-3.69967284382363	0.000215877574215424	0.0195271078494861	genus
s__Tardibacter chloracetimidivorans	1.7704632087301	-0.831780084435125	0.22522148440413	-3.69316491557532	0.000221480288481614	0.010474714819954	species
s__Methylobacterium brachiatum	10.0674032994518	-0.770250673853465	0.210002446088545	-3.66781762879418	0.000244629563044455	0.011238981067871	species
s__Citrobacter freundii	8.31077121568076	-1.12482036034976	0.307765360536068	-3.65479844252302	0.000257384104562117	0.0114964900037746	species
s__Streptomyces clavuligerus	7.61477470095506	-0.910871942140824	0.249801686290788	-3.6463802773553	0.000265960304152025	0.0115584910561205	species
g__Pseudodesulfovibrio	15.2107675329929	-0.851345940087698	0.235659937254513	-3.61260361012591	0.000303137919829103	0.0242411005763602	genus
g__Rahnella	3.09042268814006	0.555693186788546	0.154306590967091	3.60122781085262	0.000316717896977571	0.0242411005763602	genus
s__Rheinheimera sp. D18	3.80093780100893	-0.968454511924674	0.269124802996132	-3.59853310115974	0.000320017124555739	0.0134144624917892	species
s__Croceicoccus naphthovorans	1.39134929270619	0.629233675582499	0.175067665603509	3.5942312557453	0.00032535076939041	0.0134144624917892	species
s__Enterobacter cloacae complex sp.	2.39340604520871	-0.960560161045046	0.271329204190966	-3.54020188836358	0.000399821051480047	0.0160728062694979	species
g__Micrococcus	11.4235145330928	-0.610595121381786	0.172625576246049	-3.53710692621519	0.000404535852407135	0.0287509409389357	genus
s__Eikenella corrodens	3.3495589892521	-0.89140984496221	0.252362108054253	-3.53226501329817	0.000412016224794243	0.0161590753529059	species
g__Shigella	24.8092893023866	-1.05178097117758	0.300007922196688	-3.50584399063976	0.000455161922851826	0.0301924075491711	genus
s__Pontibacter korlensis	3.27182644369852	0.661926495233235	0.188917424043684	3.50378742767621	0.000458691349595938	0.0175613259559588	species
s__Geobacillus virus GBSV1	1.78157861536737	-0.94842439149146	0.273057706890596	-3.47334782193663	0.000514008757962885	0.0192215368094028	species
f__Micrococcaceae	60.0264895537361	-0.484458661378018	0.140096962683813	-3.45802401492029	0.000544152876963426	0.0437136144493952	family
s__Yersinia pestis	5.38283949955045	1.16037991262451	0.336477716769427	3.44860849558031	0.000563483045740165	0.0205927440352315	species
g__Laribacter	2.92719231972298	0.68117337154911	0.198469018599919	3.4321395669429	0.000598839294222029	0.0372403186094325	genus
s__Laribacter hongkongensis	2.90849072988622	0.678809962125511	0.198663354328531	3.41688563761467	0.00063341882026835	0.0223043714297336	species
s__Synechococcus sp. WH 8109	1.61072448342341	-0.782849206216232	0.229245307042262	-3.41489741411331	0.000638060376721235	0.0223043714297336	species
g__Eikenella	4.30780585060293	-0.712604994179933	0.209868057807493	-3.39549048876027	0.000685057540029076	0.0400960148428783	genus
s__Microbacterium sp. Y-01	1.23862812812694	0.553830195505531	0.164892817626228	3.35872843631631	0.000783019739698945	NA	species
s__Fusobacterium nucleatum	89.5780210970432	-1.14339897217247	0.340469863179491	-3.35829715292506	0.000784242572365871	0.026365806678695	species
s__Pantoea sp. At-9b	2.63441047601868	-0.750997661985643	0.223690080140978	-3.35731321439169	0.000787039005334179	0.026365806678695	species
s__Desulfurispirillum indicum	1.36264109983067	0.598230024380253	0.17877483873751	3.34627640335125	0.000819047066873446	0.0268781159904592	species
g__Desulfurispirillum	1.37155263445609	0.5983801389132	0.179009191850723	3.34273415083731	0.000829573339695597	0.0458569707220622	genus
f__unclassified-g__Lawsonella	9.11309332515747	-0.824464996116358	0.246668546992448	-3.34240018100726	0.000830572222045601	0.0503079259636711	family
f__Chrysiogenaceae	1.38962068407687	0.598393545841787	0.179109936584863	3.34092880189405	0.000834986323048482	0.0503079259636711	family
c__Chrysiogenetes	1.37197245806677	0.597050209000881	0.178778839616412	3.33960221624613	0.000838984691116808	0.046773396529762	class
p__Chrysiogenetes	1.3544691580577	0.596360559116734	0.179156683892234	3.32870951929126	0.000872493515717387	0.0273381301591448	phlyum
o__Chrysiogenales	1.38034747593393	0.596337739978405	0.179255213511853	3.32675255740314	0.000878643575580492	0.0795172435900345	order
g__Lawsonella	9.01700502333151	-0.821540075726785	0.246984199105762	-3.32628596769055	0.000880115828533122	0.0460902762837082	genus
k__unclassified-p__Chrysiogenetes	1.35337963637598	0.595555343694968	0.179169632446497	3.3239748028886	0.000887442136973726	0.0269190781548697	kingdom
s__Stenotrophomonas sp. YAU14D1_LEIMI4_1	1.29310434488931	0.548719438604397	0.165424716193257	3.31703418468227	0.000909784841587426	NA	species
s__Bacillus thermocopriae	2.06205742828057	0.559799859658306	0.169185939201053	3.30878477432491	0.000937018382293124	0.0295727980715762	species
s__Lawsonella clevelandensis	8.96037516076717	-0.816497542525916	0.247189838128739	-3.30311937054903	0.000956156763772943	0.0295727980715762	species
s__Pantoea dispersa	1.59426387595709	0.544363255589138	0.164805377243198	3.30306731913146	0.000956334265996247	0.0295727980715762	species
s__Thermoanaerobacter italicus	1.58566905912414	-0.756327750887212	0.231310303303411	-3.26975383320963	0.00107641113411275	0.0322532988736477	species
s__Corynebacterium minutissimum	3.19172494547426	0.779886757494533	0.238644001838423	3.26799228761913	0.00108313317112996	0.0322532988736477	species
s__Clostridium novyi	1.97615784268087	-0.609270445953315	0.188456929046193	-3.23294266247953	0.00122522151279045	0.0358210216830372	species
f__unclassified-g__Gemella	41.9032477013989	-0.537455184470149	0.166331669444646	-3.2312258168551	0.00123260517306747	0.0660128548242802	family
s__Aeromonas caviae	2.42167324437704	-0.793053003578818	0.245725305560795	-3.22739655066828	0.00124922202761996	0.035870518221659	species
g__Gemella	41.3638987283515	-0.533516092424542	0.166091639677894	-3.21217909257326	0.00131732227349758	0.0655367831065047	genus
s__Aeromonas sp. ASNIH3	1.58316152082406	-0.75350742163259	0.234704999626556	-3.21044469794641	0.00132529767094034	0.0371083373618523	species
s__Lactobacillus plantarum	1.69578538221274	-0.698472959709728	0.217755770664624	-3.2075979322058	0.00133848480534044	0.0371083373618523	species
s__Staphylococcus cohnii	23.5453825068311	-0.844866990787936	0.263938343896294	-3.20100133355349	0.00136950898288609	0.0373249227878107	species
o__unclassified-s__Betaproteobacteria bacterium GR16-43	25.9490352814261	0.243574930809023	0.0761252786646139	3.19965897113026	0.00137590284919996	0.0996153662820768	order
f__unclassified-s__Betaproteobacteria bacterium GR16-43	26.12998626964	0.24404043776738	0.076310800713888	3.19798030533529	0.00138393731714325	0.0667057786863047	family
s__Pantoea vagans	1.83830127969799	-0.698488411735613	0.219325494156851	-3.18471144643171	0.00144898411041285	0.0388327741590645	species
s__Komagataeibacter rhaeticus	1.14669278372469	0.535189790224046	0.168153498439975	3.18274549854275	0.00145885782782066	NA	species
g__unclassified-s__Betaproteobacteria bacterium GR16-43	25.8776101437876	0.244677986688014	0.0769801188307639	3.17845685878874	0.00148061250098727	0.0701528304039206	genus
s__Betaproteobacteria bacterium GR16-43	25.7608180111742	0.245142278606353	0.0773586776934155	3.1689047165192	0.00153014549517067	0.040335638626794	species
s__Eremothecium gossypii	89.7231683013613	0.286762376193449	0.0916332027743861	3.12945927361612	0.00175128347238883	0.0454203842516329	species
s__Staphylococcus capitis	6.69979454710971	-0.859125250170542	0.27511187569191	-3.12282139042464	0.00179126415731167	0.0457198851580502	species
s__Micrococcus luteus	8.2448799808588	-0.76535180739861	0.246483209850973	-3.1050869869041	0.00190223072883281	0.0477935470619242	species
g__Rheinheimera	5.16992400957062	-0.730261453957593	0.235718215837821	-3.09802724139075	0.0019481352019022	0.0848188462829701	genus
g__Yersinia	18.8102352094856	0.397314197813817	0.128326025893792	3.09613108523014	0.00196063664774705	0.0848188462829701	genus
f__Pseudonocardiaceae	85.5447289919644	0.212244792065908	0.0686537299784378	3.09152601224388	0.00199130534420038	0.0872553796276896	family
o__Pseudonocardiales	84.9755919204641	0.211304083197865	0.0686177891533881	3.07943589854689	0.00207392994965013	0.125127106962225	order
g__Roseomonas	4.05110356063932	-0.514814540247626	0.167607290359499	-3.07155219288735	0.00212948931381201	0.0882850778017894	genus
s__Sphingomonas sp. MM-1	3.13876483051623	-0.65190931434068	0.213395985841857	-3.05492772869586	0.0022511476132831	0.0556899286486034	species
s__Enterococcus faecalis	2.20647383551565	-0.682413847407228	0.224157741931581	-3.04434654599403	0.00233186358893462	0.0568126765304071	species
f__Oleaceae	759.514763906977	-0.208077199033693	0.0683619314402888	-3.04375834107964	0.002336427393034	0.0938465002868659	family
g__Lactococcus	24.730913733165	-0.684694205602718	0.225539145384543	-3.03581094286456	0.00239889729573879	0.0954761123704038	genus
s__Streptococcus sanguinis	2.23689226956087	-0.631328589448216	0.209039331142801	-3.02014260185772	0.00252655697844237	0.0606373674826169	species
g__Olea	751.107474419308	-0.206095716218616	0.0683437346124711	-3.01557585910747	0.00256491769802785	0.0981574272899119	genus
s__Pseudomonas sp. LAB-08	1.78034374409236	-0.517692574190224	0.172042043147357	-3.0091050113071	0.00262018534544949	0.0611673546444899	species
s__Gemella haemolysans	3.3861643664444	-0.716462041666697	0.238139616784558	-3.00857980432072	0.00262471857616281	0.0611673546444899	species
o__Kineosporiales	2.63086023345378	-0.644193877412756	0.215056673816834	-2.99546099165201	0.00274030348791042	0.141712837517653	order
f__Kineosporiaceae	2.64960775977637	-0.644180097847854	0.215245432553142	-2.99277011459377	0.00276457903475521	0.0999644995791885	family
g__Kineococcus	2.62293963435541	-0.64479050918229	0.215558497873217	-2.99125534620087	0.00277833066181144	0.102386629944533	genus
s__Olea europaea	747.679402304965	-0.204970567396085	0.0685988366101782	-2.98795981863157	0.00280846475024733	0.0644142911456527	species
s__Kineococcus radiotolerans	2.60875356876853	-0.643437280937805	0.215769318440114	-2.98206105293134	0.00286314895298565	0.0644142911456527	species
s__Clostridium pasteurianum	1.99230510341321	-0.558244011469369	0.187341814389551	-2.97981533534514	0.00288422199159639	0.0644142911456527	species
f__Dermacoccaceae	5.36266989585998	-0.521807606603465	0.175234326718218	-2.97777048809933	0.00290353318279801	0.0999644995791885	family
s__Streptococcus pseudopneumoniae	1.57488135156629	-0.678697814181676	0.22842852314073	-2.97116054006769	0.00296676650782168	0.0653501444462638	species
s__Streptococcus sp. 116-D4	1.74699528033775	-0.689462152260192	0.233007871465442	-2.95896506810693	0.00308674088860473	0.0670740452550866	species
s__Terriglobus roseus	8.10119686650853	-0.570312315361323	0.193382089019905	-2.94914755679684	0.00318651794551257	0.0683189447517895	species
g__Svunavirus	3.81071341218282	-0.629799687202648	0.214858642160328	-2.9312280896418	0.00337624787915841	0.119977379991522	genus
s__Ornithinimicrobium flavum	2.41799407637523	-0.606817628184371	0.207228073971493	-2.92825975050006	0.00340865148074393	0.072119889224161	species
s__Borrelia coriaceae	3.2219971419798	-0.805259660060583	0.27566655057205	-2.92113663550963	0.00348756837002671	0.0728312979091293	species
s__Hardy-Zuckerman feline sarcoma virus	17.0346885531702	0.820650354384458	0.282686155323742	2.90304402578407	0.00369554681687839	0.0761851189941084	species
g__Parashewanella	7.19369344978135	0.312528245751808	0.10855698937908	2.87893250853211	0.00399023717954263	0.135386703661423	genus
g__Saccharothrix	5.0069039859973	0.437406331337084	0.15231332250737	2.87175359408181	0.00408201116567105	0.135386703661423	genus
s__Saccharomyces eubayanus	67.2877937640648	0.231617618348828	0.0809127024487786	2.86256188878937	0.00420231182051726	0.0841953754639009	species
s__Haemophilus influenzae	4.98858821556826	-1.26962016942162	0.444080373607078	-2.8589873475133	0.00424995735432674	0.0841953754639009	species
s__Sphingomonas paucimobilis	4.36481442418592	-0.487723578481952	0.170652544387222	-2.8579918350076	0.00426331361524382	0.0841953754639009	species
s__Pseudomonas fragi	3.59430348568407	0.63381845457672	0.221944741372241	2.85574891595965	0.00429354526619395	0.0841953754639009	species
g__Haemophilus	62.5962688559343	-0.712224625429815	0.249809080617195	-2.85107580425077	0.00435715805583473	0.137150529733124	genus
s__Selenomonas sp. oral taxon 478	1.74749376889701	0.546425069895404	0.19190245290811	2.8474105547627	0.00440764783731763	0.0853915388241778	species
g__Salmonella	1038.37908396745	-0.623349734603583	0.219489160757947	-2.84000236025785	0.00451132000393488	0.137150529733124	genus
g__Erythrobacter	12.1485027554354	-0.396707505199938	0.14029417105102	-2.82768344705976	0.00468861434938292	0.137150529733124	genus
s__Marinobacter fonticola	2.1216142004369	0.492935727083405	0.174356867142517	2.8271655436461	0.00469620435894944	0.0898987691570321	species
g__Psychromicrobium	1.72878412186937	-0.703396353225756	0.249485433831438	-2.8193884605744	0.00481152498710207	0.137150529733124	genus
s__Cupriavidus basilensis	12.8286262352228	0.505712440684488	0.179483590477517	2.81759708137684	0.00483844849836148	0.0915320610042973	species
s__Psychromicrobium lacuslunae	1.71774988001814	-0.700903895611888	0.249369699380539	-2.81070193112077	0.0049433558100717	0.0924292574720384	species
g__Lautropia	2.75326202596652	-0.62507832699933	0.222584250196101	-2.80827743404407	0.00498072974701135	0.137150529733124	genus
s__Carboxydocella thermautotrophica	1.80368731551768	-0.629477438968597	0.224371540055661	-2.80551374212807	0.00502364391943284	0.0928507979591725	species
g__Carboxydocella	1.81325058038048	-0.628979458375384	0.224275422851518	-2.80449569720264	0.00503953602582276	0.137150529733124	genus
g__Roseburia	3.65835003149706	-0.494981666210802	0.176896766480691	-2.79813857572591	0.00513980559829758	0.137150529733124	genus
f__unclassified-g__Chryseolinea	1.88434463628048	0.473310211625723	0.169152062487474	2.79813443989649	0.00513987141461963	0.165161201456444	family
s__Streptococcus mutans	1.72156907782549	-1.00510862167967	0.359903487364302	-2.79271709490906	0.00522673817799067	0.095506761252375	species
g__Chryseolinea	1.8654220333433	0.47307796409155	0.169438934805582	2.79202631103866	0.00523790967824997	0.137150529733124	genus
s__Chryseolinea soli	1.8554802203239	0.473077161254963	0.169644826759739	2.78863299453843	0.00529310096865109	0.0956326557032691	species
s__Lautropia mirabilis	2.72697381357056	-0.618179013185858	0.222363695715903	-2.78003570320066	0.00543529222567875	0.096577662936677	species
s__Bradyrhizobiaceae bacterium SG-6C	2.54962643458166	0.529353954615501	0.19053614096418	2.7782338402404	0.00546552694479951	0.096577662936677	species
g__unclassified-s__Bradyrhizobiaceae bacterium SG-6C	2.56537653379856	0.528224085639946	0.190344636333095	2.77509309332771	0.00551859086997808	0.140794818349441	genus
s__Georgenia sp. ZLJ0423	1.59686832340387	0.449240046648999	0.162123868872866	2.7709679627821	0.00558899255384653	0.0976858698541872	species
s__Human endogenous retrovirus K	1.24156778992432	-0.692592267846065	0.250085343706452	-2.76942365986479	0.00561555623188333	NA	species
s__Streptococcus sp. FDAARGOS_521	1.48745318359829	-0.649464664085731	0.234680281151343	-2.76744454582827	0.00564976563705649	0.0976862703697509	species
s__Altererythrobacter sp. ZODW24	1.15840966160992	0.461222023907863	0.166751381382689	2.76592625550354	0.00567613691411967	NA	species
s__Staphylococcus epidermidis	92.3052136174798	-0.726247472453608	0.263157443660507	-2.75974512577543	0.00578464720528379	0.0989543904903864	species
s__Clostridium perfringens	3.69692421660362	-0.55517230708683	0.201453257700608	-2.75583682996036	0.00585421933260413	0.0990903651244994	species
s__Bacillus sp. THAF10	2.2703064518867	-0.541461357214099	0.197024318325122	-2.74819556193364	0.00599242555143174	0.0997035154834255	species
g__Vibrio	55.7216750223879	-0.240929057711287	0.0877061717280917	-2.74700232565412	0.00601427080162248	0.146793153425526	genus
s__Methylobacterium sp. 17SD2-17	4.34843510967175	-0.52399537887406	0.190752396882971	-2.74699237040539	0.00601445335938574	0.0997035154834255	species
g__unclassified-s__Human endogenous retrovirus K	1.24386130916411	-0.688062371022637	0.250648720489165	-2.7451262056308	0.00604876310597646	0.146793153425526	genus
s__Roseomonas sp. FDAARGOS_362	1.5117030596917	-0.588033112898592	0.214664477437895	-2.7393126236674	0.00615677986016688	0.0999070156441868	species
s__Sphingomonas sp. HKS19	6.45599282098082	-0.516467023560841	0.18856204340732	-2.73897659480281	0.00616307607822936	0.0999070156441868	species
s__Mycoplasma arthritidis	1.89765380760597	-0.459089519810561	0.167776466330045	-2.73631653981466	0.00621312286344445	0.0999070156441868	species
f__Bifidobacteriaceae	32.8332067454251	-0.404966694307099	0.149185041297159	-2.71452614006021	0.00663706621682854	0.191911350291606	family
s__Komagataeibacter hansenii	1.9585888124096	0.684267349109905	0.252465280000452	2.71034238493578	0.00672137853244548	0.107009670100716	species
o__Bifidobacteriales	32.6078468422474	-0.403460816288183	0.148983931182515	-2.70808276493871	0.00676731436798966	0.306220975151532	order
f__Beijerinckiaceae	6.05082870030275	-0.366908671134356	0.135489801151038	-2.70801689881693	0.00676865758289897	0.191911350291606	family
s__Pseudomonas sp. JY-Q	1.70399190484845	-0.588810513600507	0.217936079252479	-2.70175785312889	0.00689739748495566	0.108325384906546	species
s__Kluyveromyces lactis	2.37715118561835	0.411458416969756	0.152405016445181	2.69976951262463	0.0069387528889143	0.108325384906546	species
g__Collimonas	4.30974948008018	-0.380319797795345	0.141504302671613	-2.68769069643026	0.00719480070537271	0.167327498987756	genus
g__Weissella	9.76408031074198	-0.277695158220248	0.103386009949696	-2.68600324507509	0.00723123864972213	0.167327498987756	genus
s__Parashewanella spongiae	6.26555891460328	0.346488417439839	0.12910108757322	2.68385359064715	0.00727789700026039	0.112527484388641	species
s__Streptococcus oralis	7.47838252012605	-0.995579474850996	0.372075234902329	-2.6757477559944	0.00745627397639771	0.114187510038548	species
g__Lachnoanaerobaculum	8.55671423885718	-0.764462208673914	0.286010248327202	-2.67284900854095	0.00752100942171571	0.170077372150162	genus
s__Lachnoanaerobaculum umeaense	8.49778837264497	-0.764064440334768	0.286201337779168	-2.66967459433861	0.00759247885192251	0.115176471640485	species
s__Actinomyces gaoshouyii	1.27280361500864	0.432935412554249	0.162909501413603	2.65752094750502	0.00787176982978209	NA	species
s__Neisseria gonorrhoeae	3.06773051408343	0.638747834919725	0.240450962229765	2.65645780327285	0.00789663327634763	0.118569188660553	species
g__Solibacillus	5.51555098847785	0.301287429165561	0.113521530958107	2.65401132827168	0.00795411564962108	0.175874334919399	genus
s__Streptococcus sp. LPB0220	1.49192294940145	-0.5440464055188	0.205021306943161	-2.65360909863689	0.00796360222346995	0.118569188660553	species
s__Streptomyces fradiae	2.9224441010679	-0.821547006459142	0.310350219686424	-2.64716102759402	0.00811706912134959	0.119745386670919	species
s__Pseudomonas sp. SCB32	1.62905760872325	0.450339413040535	0.170703346255293	2.6381405105383	0.00833620332080969	0.121860135816927	species
s__Kocuria indica	1.54281767900273	-0.498288337206443	0.189224375917943	-2.6333200191001	0.00845546362697729	0.122489959569185	species
s__Shewanella putrefaciens	1.84119081826247	-0.610164570293851	0.232047448177957	-2.62948192313632	0.00855150781985861	0.122708486690328	species
g__Streptococcus	242.061977416741	-0.354907727061571	0.134976868144618	-2.62939666581471	0.00855365232140062	0.178386291765893	genus
s__Methylobacterium sp. C1	4.44582570451653	-0.635096954714739	0.241790344397067	-2.62664316186169	0.00862317101741732	0.122708486690328	species
g__Spirosoma	10.3119549198892	-0.312898630588007	0.119222024963449	-2.62450357376445	0.00867753819552709	0.178386291765893	genus
